experiment_name,dataset,backbone_name,num_classes,num_epochs,lr,batch_size,seed,lora_rank,num_coupling_layers,dia_n_blocks,lambda_logdet,tail_weight,score_aggregation_top_k,tail_top_k,scale_context_kernel,spatial_context_kernel,use_lora,use_dia,use_whitening_adapter,use_router,use_pos_embedding,use_spatial_context,use_scale_context,use_task_adapter,adapter_mode,cl_scenario,Image_AUC,Pixel_AUC,Pixel_AP,Routing_Acc
MPDD-WRN50-60ep-lr2e4-dia4,mpdd,wide_resnet50_2,6,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9019,0.9458,0.289,98.12
MVTec-ViT-60ep,,vit_base_patch16_224.augreg2_in21k_ft_in1k,15,60,0.0001,16,0,64,8,2,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.8953,0.9199,0.3067,99.76
MVTec-WRN50-60ep-lr2e4-dia4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9793,0.9736,0.4735,100.0
MVTec-WRN50-80ep,mvtec,wide_resnet50_2,15,80,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9796,0.9736,0.464,100.0
MVTec-WRN50-Ablation-wo_Adapter,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9604,0.9703,0.4461,100.0
MVTec-WRN50-Ablation-wo_DIA,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,2,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9479,0.9702,0.4586,100.0
MVTec-WRN50-Ablation-wo_LoRA,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,False,True,True,True,True,True,True,True,whitening,,0.9797,0.9739,0.4753,100.0
MVTec-WRN50-Ablation-wo_PosEmbed,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,False,True,True,True,whitening,,0.9767,0.9695,0.4564,100.0
MVTec-WRN50-Ablation-wo_ScaleCtx,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,False,True,whitening,,0.9775,0.9741,0.4776,100.0
MVTec-WRN50-Ablation-wo_SpatialCtx,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,False,True,True,whitening,,0.9772,0.9731,0.4659,100.0
MVTec-WRN50-Balanced-Combo1,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,12,6,0.0001,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.981,0.9753,0.4995,100.0
MVTec-WRN50-Balanced-Combo2,mvtec,wide_resnet50_2,15,60,0.0002,16,0,256,8,6,0.0001,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9819,0.9753,0.4923,100.0
MVTec-WRN50-CL-14x1,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,14-1,0.6685,0.4604,0.0806,96.69
MVTec-WRN50-CL-1x1-Seed0,mvtec,wide_resnet50_2,15,60,0.0003,16,999,64,8,4,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.981,0.9779,0.5301,100.0
MVTec-WRN50-CL-1x1-Seed123,mvtec,wide_resnet50_2,15,60,0.0003,16,123,64,8,4,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9816,0.9786,0.5361,100.0
MVTec-WRN50-CL-1x1-Seed42,mvtec,wide_resnet50_2,15,60,0.0003,16,42,64,8,4,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9822,0.9781,0.5331,100.0
MVTec-WRN50-CL-3x3,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,3-3,0.8383,0.883,0.3365,99.37
MVTec-WRN50-CL-5x5,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,5-5,0.8022,0.7778,0.264,100.0
MVTec-WRN50-Coupling12,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,12,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9802,0.9736,0.4741,100.0
MVTec-WRN50-Coupling16,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,16,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.7341,0.5414,0.2284,100.0
MVTec-WRN50-DIA2,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,2,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9726,0.9737,0.4845,100.0
