task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,867.6925659179688,0.0002997964859110542,,,,,,
0,1.0,BASE,546.9392911470853,0.00029918650146218856,,,,,,
0,2.0,BASE,357.4018296461839,0.00029817171857837797,,,,,,
0,3.0,BASE,213.69502727801984,0.00029675491870897016,,,,,,
0,4.0,BASE,117.4479998075045,0.00029493998520392666,,,,,,
0,5.0,BASE,45.194597244262695,0.0002927318926698304,,,,,,
0,6.0,BASE,-17.931733278127815,0.0002901366933348345,,,,,,
0,7.0,BASE,-68.79492392906776,0.0002871615004599263,,,,,,
0,8.0,BASE,-117.2474112877479,0.0002838144688419727,,,,,,
0,9.0,BASE,-157.13663130540115,0.00028010477246198927,,,,,,
0,10.0,BASE,-192.86549729567307,0.00027604257933989555,,,,,,
0,11.0,BASE,-223.83793405386118,0.00027163902366467976,,,,,,
0,12.0,BASE,-250.61651963454025,0.00026690617527636023,,,,,,
0,13.0,BASE,-275.9212141770583,0.0002618570065833931,,,,,,
0,14.0,BASE,-297.6464116023137,0.0002565053570062024,,,,,,
0,15.0,BASE,-322.21405264047473,0.00025086589504429055,,,,,,
0,16.0,BASE,-343.7366544283353,0.00024495407807090095,,,,,,
0,17.0,BASE,-365.30162635216345,0.00023878610996543232,,,,,,
0,18.0,BASE,-383.4031794621394,0.00023237889669973157,,,,,,
0,19.0,BASE,-401.1171100323017,0.00022575000000000004,,,,,,
0,20.0,BASE,-417.5924377441406,0.00021891758921132272,,,,,,
0,21.0,BASE,-432.8006403996394,0.0002119003914967564,,,,,,
0,22.0,BASE,-448.9888704740084,0.00020471764050747717,,,,,,
0,23.0,BASE,-464.1371812086839,0.00019738902366467974,,,,,,
0,24.0,BASE,-478.53053166316107,0.00018993462819772436,,,,,,
0,25.0,BASE,-493.59810931865985,0.00018237488608643726,,,,,,
0,26.0,BASE,-506.90516075721155,0.0001747305180584743,,,,,,
0,27.0,BASE,-519.2833416278546,0.00016702247679524656,,,,,,
0,28.0,BASE,-532.2247079702524,0.00015927188950207714,,,,,,
0,29.0,BASE,-544.2365487905649,0.00015150000000000002,,,,,,
0,30.0,BASE,-556.1268873948318,0.00014372811049792285,,,,,,
0,31.0,BASE,-566.7213087815505,0.00013597752320475346,,,,,,
