class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.9018999999999999,0.8952395809278106,False,1.0
capsules,1,0.8803333333333334,0.9688648635632292,False,1.0
cashew,2,0.9734,0.9813550239832056,False,1.0
chewinggum,3,0.9294,0.9532170711712249,False,1.0
fryum,4,0.9408,0.9397959350787339,False,1.0
macaroni1,5,0.8744000000000001,0.9258899555244255,False,1.0
macaroni2,6,0.6879,0.8223214179603722,True,1.0
Average,,0.8840190476190477,0.9266691211727144,,1.0
Task_0_Average,0,0.9018999999999999,0.8952395809278106,,1.0
Task_1_Average,1,0.8803333333333334,0.9688648635632292,,1.0
Task_2_Average,2,0.9734,0.9813550239832056,,1.0
Task_3_Average,3,0.9294,0.9532170711712249,,1.0
Task_4_Average,4,0.9408,0.9397959350787339,,1.0
Task_5_Average,5,0.8744000000000001,0.9258899555244255,,1.0
Task_6_Average,6,0.6879,0.8223214179603722,,1.0
