Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.9019,0.8952,0.9214,0.0790
1,capsules,100.00,0.8803,0.9689,0.9327,0.3074
2,cashew,100.00,0.9734,0.9814,0.9861,0.7040
3,chewinggum,100.00,0.9294,0.9532,0.9679,0.3672
4,fryum,100.00,0.9408,0.9398,0.9719,0.3168
5,macaroni1,100.00,0.8744,0.9259,0.8571,0.0304
6,macaroni2,100.00,0.6879,0.8223,0.6448,0.0085
7,pcb1,100.00,0.9490,0.9845,0.9425,0.5861
8,pcb2,100.00,0.9202,0.9632,0.9140,0.0951
9,pcb3,100.00,0.8700,0.9512,0.8781,0.1840
10,pcb4,100.00,0.9780,0.9528,0.9604,0.1845
11,pipe_fryum,98.67,0.9566,0.9817,0.9797,0.2994
Mean,Overall,99.89,0.9052*,0.9433*,0.9131*,0.2635*
