metric,value
experiment_name,VISA-A3-ViT-LoRA192-DIA8-C12
strategy,MoLE-Flow
final_average_img_auc,0.8780784653465346
final_average_pixel_auc,0.9521739960291226
final_average_img_ap,0.8923267645352517
final_average_pixel_ap,0.2139034235020978
total_classes,12
total_tasks,12
final_routing_accuracy,0.9990749306197965
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
candle_img_auc,0.8973
candle_pixel_auc,0.8973807063803341
candle_img_ap,0.9206397170620968
candle_pixel_ap,0.015214934425913438
capsules_img_auc,0.8765000000000001
capsules_pixel_auc,0.9736126447811572
capsules_img_ap,0.9328083393983768
capsules_pixel_ap,0.30052727604666096
cashew_img_auc,0.9594
cashew_pixel_auc,0.9843949521077262
cashew_img_ap,0.9794166579328003
cashew_pixel_ap,0.5898147034518495
chewinggum_img_auc,0.9174
chewinggum_pixel_auc,0.947658424342371
chewinggum_img_ap,0.9624226317427509
chewinggum_pixel_ap,0.13198844022102976
fryum_img_auc,0.9014
fryum_pixel_auc,0.945134357775528
fryum_img_ap,0.9529204791843935
fryum_pixel_ap,0.3183088434915714
macaroni1_img_auc,0.7958000000000001
macaroni1_pixel_auc,0.9375161877108769
macaroni1_img_ap,0.7759209860038225
macaroni1_pixel_ap,0.029231480718256708
macaroni2_img_auc,0.6802999999999999
macaroni2_pixel_auc,0.9185983141062821
macaroni2_img_ap,0.6313292562502792
macaroni2_pixel_ap,0.00792472758108648
pcb1_img_auc,0.9237
pcb1_pixel_auc,0.9842345273153628
pcb1_img_ap,0.9187443065568637
pcb1_pixel_ap,0.5597695670817506
pcb2_img_auc,0.8887
pcb2_pixel_auc,0.9654800460261379
pcb2_img_ap,0.8886169350314584
pcb2_pixel_ap,0.08709520209154795
pcb3_img_auc,0.7947524752475247
pcb3_pixel_auc,0.963834646816451
pcb3_img_ap,0.8237805412526199
pcb3_pixel_ap,0.19105482579678904
pcb4_img_auc,0.9710891089108911
pcb4_pixel_auc,0.960736805599078
pcb4_img_ap,0.9563143056499207
pcb4_pixel_ap,0.21175828339988362
pipe_fryum_img_auc,0.9306
pipe_fryum_pixel_auc,0.9475063393881658
pipe_fryum_img_ap,0.9650070183576395
pipe_fryum_pixel_ap,0.124152797718834
---additional_metrics---,
overall_routing_accuracy,0.9990749306197965
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,0.9866666666666667
oracle_mean_img_auc,0.8780784653465346
oracle_mean_pixel_auc,0.9510643762461565
