class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9834026692111081,False,1.0
cable,1,0.9919415292353823,0.9805228678183446,False,1.0
capsule,2,0.9720781810929399,0.98592008461687,False,1.0
carpet,3,0.9951845906902087,0.9870579830625245,False,1.0
grid,4,0.9883040935672514,0.9760770012001173,False,1.0
hazelnut,5,0.9992857142857142,0.9851242126437174,False,1.0
leather,6,1.0,0.9923338708657228,False,1.0
metal_nut,7,1.0,0.973214747854718,False,1.0
pill,8,0.9907255864702673,0.9882990009915972,True,1.0
Average,,0.9930577439268625,0.9835502709183022,,1.0
Task_0_Average,0,1.0,0.9834026692111081,,1.0
Task_1_Average,1,0.9919415292353823,0.9805228678183446,,1.0
Task_2_Average,2,0.9720781810929399,0.98592008461687,,1.0
Task_3_Average,3,0.9951845906902087,0.9870579830625245,,1.0
Task_4_Average,4,0.9883040935672514,0.9760770012001173,,1.0
Task_5_Average,5,0.9992857142857142,0.9851242126437174,,1.0
Task_6_Average,6,1.0,0.9923338708657228,,1.0
Task_7_Average,7,1.0,0.973214747854718,,1.0
Task_8_Average,8,0.9907255864702673,0.9882990009915972,,1.0
