Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9834,1.0000,0.7236
1,cable,100.00,0.9919,0.9805,0.9958,0.6413
2,capsule,100.00,0.9721,0.9859,0.9934,0.3787
3,carpet,100.00,0.9952,0.9871,0.9985,0.4855
4,grid,100.00,0.9883,0.9761,0.9959,0.2463
5,hazelnut,100.00,0.9993,0.9851,0.9996,0.5090
6,leather,100.00,1.0000,0.9923,1.0000,0.3932
7,metal_nut,100.00,1.0000,0.9732,1.0000,0.7599
8,pill,100.00,0.9907,0.9883,0.9984,0.7643
9,screw,100.00,0.9072,0.9823,0.9611,0.2103
10,tile,100.00,1.0000,0.9597,1.0000,0.5892
11,toothbrush,100.00,0.9056,0.9825,0.9587,0.4382
12,transistor,100.00,0.9929,0.9771,0.9868,0.6869
13,wood,100.00,0.9939,0.9373,0.9981,0.4179
14,zipper,100.00,0.9913,0.9763,0.9978,0.3668
Mean,Overall,100.00,0.9819*,0.9778*,0.9923*,0.5074*
