task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,830.6129056490385,0.0001998643239407028,,,,,,
0,1.0,BASE,464.0375201885517,0.00019945766764145904,,,,,,
0,2.0,BASE,229.93439542330228,0.00019878114571891863,,,,,,
0,3.0,BASE,47.13152445279635,0.00019783661247264674,,,,,,
0,4.0,BASE,-78.62718802232008,0.00019662665680261773,,,,,,
0,5.0,BASE,-161.14066079946664,0.0001951545951132202,,,,,,
0,6.0,BASE,-221.47413987379807,0.00019342446222322295,,,,,,
0,7.0,BASE,-270.8945042536809,0.00019144100030661746,,,,,,
0,8.0,BASE,-313.8206129807692,0.0001892096458946484,,,,,,
0,9.0,BASE,-351.7923067533053,0.00018673651497465941,,,,,,
0,10.0,BASE,-383.1218590369591,0.00018402838622659694,,,,,,
0,11.0,BASE,-410.3956111027644,0.00018109268244311975,,,,,,
0,12.0,BASE,-434.04693838266223,0.0001779374501842401,,,,,,
0,13.0,BASE,-455.844475379357,0.000174571337722262,,,,,,
0,14.0,BASE,-476.5177494929387,0.00017100357133746817,,,,,,
0,15.0,BASE,-494.9026324932392,0.00016724393002952694,,,,,,
0,16.0,BASE,-509.0921161358173,0.0001633027187139339,,,,,,
0,17.0,BASE,-522.6168893667368,0.00015919073997695482,,,,,,
0,18.0,BASE,-540.0729276216947,0.00015491926446648766,,,,,,
0,19.0,BASE,-552.2994431715745,0.00015049999999999997,,,,,,
0,20.0,BASE,-567.5291982797476,0.0001459450594742151,,,,,,
0,21.0,BASE,-581.0939378004807,0.0001412669276645042,,,,,,
0,22.0,BASE,-590.0858107346755,0.00013647842700498472,,,,,,
0,23.0,BASE,-595.8306227463943,0.00013159268244311977,,,,,,
0,24.0,BASE,-613.1314885066106,0.00012662308546514952,,,,,,
0,25.0,BASE,-623.2789165790265,0.00012158325739095812,,,,,,
0,26.0,BASE,-635.2029137244591,0.00011648701203898282,,,,,,
0,27.0,BASE,-643.4189171424279,0.00011134831786349765,,,,,,
0,28.0,BASE,-652.9281428410457,0.00010618125966805139,,,,,,
0,29.0,BASE,-662.3387498121995,0.00010099999999999999,,,,,,
0,30.0,BASE,-671.8704833984375,9.581874033194855e-05,,,,,,
0,31.0,BASE,-680.6037081204928,9.06516821365023e-05,,,,,,
0,32.0,BASE,-689.2312481219952,8.551298796101712e-05,,,,,,
0,33.0,BASE,-694.133286696214,8.04167426090418e-05,,,,,,
0,34.0,BASE,-700.2696251502404,7.537691453485044e-05,,,,,,
0,35.0,BASE,-705.279043344351,7.04073175568802e-05,,,,,,
0,36.0,BASE,-711.6601374699519,6.552157299501526e-05,,,,,,
0,37.0,BASE,-717.0063899113582,6.0733072335495784e-05,,,,,,
0,38.0,BASE,-722.3646381084735,5.605494052578486e-05,,,,,,
0,39.0,BASE,-726.9988872821515,5.150000000000001e-05,,,,,,
0,40.0,BASE,-732.4996572641226,4.708073553351234e-05,,,,,,
0,41.0,BASE,-737.031982421875,4.2809260023045165e-05,,,,,,
0,42.0,BASE,-742.3543043870193,3.869728128606611e-05,,,,,,
0,43.0,BASE,-747.0588050255409,3.475606997047307e-05,,,,,,
0,44.0,BASE,-751.1342163085938,3.09964286625318e-05,,,,,,
0,45.0,BASE,-755.4032921424279,2.742866227773799e-05,,,,,,
0,46.0,BASE,-759.6408174954928,2.406254981575988e-05,,,,,,
0,47.0,BASE,-762.860849233774,2.090731755688021e-05,,,,,,
0,48.0,BASE,-766.0626079852765,1.7971613773403027e-05,,,,,,
0,49.0,BASE,-769.1260188176082,1.5263485025340566e-05,,,,,,
0,50.0,BASE,-771.0894775390625,1.2790354105351586e-05,,,,,,
0,51.0,BASE,-773.214360163762,1.0558999693382501e-05,,,,,,
0,52.0,BASE,-775.3118286132812,8.575537776777025e-06,,,,,,
0,53.0,BASE,-776.7311401367188,6.845404886779799e-06,,,,,,
0,54.0,BASE,-777.960942195012,5.373343197382236e-06,,,,,,
0,55.0,BASE,-779.084477351262,4.1633875273532364e-06,,,,,,
0,56.0,BASE,-780.0288461538462,3.2188542810813718e-06,,,,,,
0,57.0,BASE,-780.4457350510818,2.5423323585409335e-06,,,,,,
0,58.0,BASE,-781.6210421048678,2.1356760592971906e-06,,,,,,
0,59.0,BASE,-781.8889864408053,2.0000000000000003e-06,,,,,,
1,0.0,FAST,76202.3125,0.0001,,,,,,
1,1.0,FAST,1844.2388785226005,0.0002,,,,,,
1,2.0,FAST,589.3808288574219,0.0001998643239407028,,,,,,
1,3.0,FAST,447.58397783551897,0.00019945766764145904,,,,,,
1,4.0,FAST,371.0944301060268,0.00019878114571891863,,,,,,
1,5.0,FAST,316.9839542933873,0.00019783661247264674,,,,,,
1,6.0,FAST,276.79825701032365,0.00019662665680261773,,,,,,
1,7.0,FAST,246.47029549734933,0.0001951545951132202,,,,,,
1,8.0,FAST,222.1024943760463,0.00019342446222322295,,,,,,
1,9.0,FAST,202.16857583182198,0.00019144100030661746,,,,,,
1,10.0,FAST,185.38840702601843,0.0001892096458946484,,,,,,
1,11.0,FAST,171.63649095807756,0.00018673651497465941,,,,,,
1,12.0,FAST,159.84160505022322,0.00018402838622659694,,,,,,
1,13.0,FAST,149.01026044573103,0.00018109268244311975,,,,,,
1,14.0,FAST,139.85989706856864,0.0001779374501842401,,,,,,
1,15.0,FAST,131.00182451520647,0.000174571337722262,,,,,,
1,16.0,FAST,123.14094052995954,0.00017100357133746817,,,,,,
1,17.0,FAST,115.91979653494698,0.00016724393002952694,,,,,,
1,18.0,FAST,109.09512383597237,0.0001633027187139339,,,,,,
1,19.0,FAST,102.55942589896065,0.00015919073997695482,,,,,,
1,20.0,FAST,96.450501033238,0.00015491926446648766,,,,,,
1,21.0,FAST,90.87589263916016,0.00015049999999999997,,,,,,
1,22.0,FAST,85.7851698739188,0.0001459450594742151,,,,,,
1,23.0,FAST,80.65457916259766,0.0001412669276645042,,,,,,
1,24.0,FAST,75.98278154645648,0.00013647842700498472,,,,,,
1,25.0,FAST,71.9139791216169,0.00013159268244311977,,,,,,
1,26.0,FAST,67.87282071794782,0.00012662308546514952,,,,,,
1,27.0,FAST,64.07643672398159,0.00012158325739095812,,,,,,
1,28.0,FAST,60.51539748055594,0.00011648701203898282,,,,,,
1,29.0,FAST,56.94188117980957,0.00011134831786349765,,,,,,
1,30.0,FAST,53.858469009399414,0.00010618125966805139,,,,,,
1,31.0,FAST,50.925260816301616,0.00010099999999999999,,,,,,
1,32.0,FAST,48.04766627720424,9.581874033194855e-05,,,,,,
1,33.0,FAST,45.411090578351704,9.06516821365023e-05,,,,,,
1,34.0,FAST,42.86731311253139,8.551298796101712e-05,,,,,,
1,35.0,FAST,40.55418859209333,8.04167426090418e-05,,,,,,
