task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,807.1158400315505,0.0001998643239407028,,,,,,
0,1.0,BASE,424.3938809908353,0.00019945766764145904,,,,,,
0,2.0,BASE,181.18850355881912,0.00019878114571891863,,,,,,
0,3.0,BASE,12.140313955453726,0.00019783661247264674,,,,,,
0,4.0,BASE,-99.577760549692,0.00019662665680261773,,,,,,
0,5.0,BASE,-180.4797821044922,0.0001951545951132202,,,,,,
0,6.0,BASE,-244.8931638277494,0.00019342446222322295,,,,,,
0,7.0,BASE,-299.3592505821815,0.00019144100030661746,,,,,,
0,8.0,BASE,-345.13571401742786,0.0001892096458946484,,,,,,
0,9.0,BASE,-382.30681668795074,0.00018673651497465941,,,,,,
0,10.0,BASE,-412.115473820613,0.00018402838622659694,,,,,,
0,11.0,BASE,-444.35208834134613,0.00018109268244311975,,,,,,
0,12.0,BASE,-472.8305922288161,0.0001779374501842401,,,,,,
0,13.0,BASE,-492.8051264836238,0.000174571337722262,,,,,,
0,14.0,BASE,-516.4300161508413,0.00017100357133746817,,,,,,
0,15.0,BASE,-531.7252666766827,0.00016724393002952694,,,,,,
0,16.0,BASE,-550.6226337139423,0.0001633027187139339,,,,,,
0,17.0,BASE,-570.5978534405048,0.00015919073997695482,,,,,,
0,18.0,BASE,-587.4492610051082,0.00015491926446648766,,,,,,
0,19.0,BASE,-603.6466627854568,0.00015049999999999997,,,,,,
0,20.0,BASE,-619.3890850360577,0.0001459450594742151,,,,,,
0,21.0,BASE,-633.7928936298077,0.0001412669276645042,,,,,,
0,22.0,BASE,-647.49658203125,0.00013647842700498472,,,,,,
0,23.0,BASE,-657.5765756460337,0.00013159268244311977,,,,,,
0,24.0,BASE,-669.5306114783654,0.00012662308546514952,,,,,,
0,25.0,BASE,-680.5861346905048,0.00012158325739095812,,,,,,
0,26.0,BASE,-691.3828453650841,0.00011648701203898282,,,,,,
0,27.0,BASE,-699.3997708834135,0.00011134831786349765,,,,,,
0,28.0,BASE,-707.5403489332932,0.00010618125966805139,,,,,,
0,29.0,BASE,-718.376225398137,0.00010099999999999999,,,,,,
0,30.0,BASE,-726.3482712965745,9.581874033194855e-05,,,,,,
0,31.0,BASE,-729.1582782451923,9.06516821365023e-05,,,,,,
0,32.0,BASE,-738.5846886268029,8.551298796101712e-05,,,,,,
0,33.0,BASE,-745.7994760366587,8.04167426090418e-05,,,,,,
0,34.0,BASE,-751.64453125,7.537691453485044e-05,,,,,,
0,35.0,BASE,-759.450937124399,7.04073175568802e-05,,,,,,
0,36.0,BASE,-764.4122690054087,6.552157299501526e-05,,,,,,
0,37.0,BASE,-768.6971858097957,6.0733072335495784e-05,,,,,,
0,38.0,BASE,-775.4895348182091,5.605494052578486e-05,,,,,,
0,39.0,BASE,-780.5194185697115,5.150000000000001e-05,,,,,,
0,40.0,BASE,-785.143564077524,4.708073553351234e-05,,,,,,
0,41.0,BASE,-790.3471022385818,4.2809260023045165e-05,,,,,,
0,42.0,BASE,-794.9086585411659,3.869728128606611e-05,,,,,,
0,43.0,BASE,-799.4456270658053,3.475606997047307e-05,,,,,,
0,44.0,BASE,-803.3393272986779,3.09964286625318e-05,,,,,,
0,45.0,BASE,-807.786137507512,2.742866227773799e-05,,,,,,
0,46.0,BASE,-811.5176861102765,2.406254981575988e-05,,,,,,
0,47.0,BASE,-814.1618276742788,2.090731755688021e-05,,,,,,
0,48.0,BASE,-817.3561354417068,1.7971613773403027e-05,,,,,,
0,49.0,BASE,-819.984144944411,1.5263485025340566e-05,,,,,,
0,50.0,BASE,-822.8443509615385,1.2790354105351586e-05,,,,,,
0,51.0,BASE,-824.7595778245193,1.0558999693382501e-05,,,,,,
0,52.0,BASE,-826.5838998647837,8.575537776777025e-06,,,,,,
0,53.0,BASE,-828.1283428485577,6.845404886779799e-06,,,,,,
0,54.0,BASE,-829.399160531851,5.373343197382236e-06,,,,,,
0,55.0,BASE,-830.4089167668269,4.1633875273532364e-06,,,,,,
0,56.0,BASE,-831.8609008789062,3.2188542810813718e-06,,,,,,
0,57.0,BASE,-831.8778217022235,2.5423323585409335e-06,,,,,,
0,58.0,BASE,-832.5470581054688,2.1356760592971906e-06,,,,,,
0,59.0,BASE,-833.0896183894231,2.0000000000000003e-06,,,,,,
1,0.0,FAST,3422179.6902901786,0.0001,,,,,,
1,1.0,FAST,12741.361554827008,0.0002,,,,,,
1,2.0,FAST,1307.839856828962,0.0001998643239407028,,,,,,
1,3.0,FAST,599.0385175432477,0.00019945766764145904,,,,,,
1,4.0,FAST,438.037595476423,0.00019878114571891863,,,,,,
1,5.0,FAST,359.9684055873326,0.00019783661247264674,,,,,,
1,6.0,FAST,300.2564261300223,0.00019662665680261773,,,,,,
1,7.0,FAST,260.2169080461775,0.0001951545951132202,,,,,,
1,8.0,FAST,232.25351061139787,0.00019342446222322295,,,,,,
1,9.0,FAST,209.16597747802734,0.00019144100030661746,,,,,,
1,10.0,FAST,190.40699223109655,0.0001892096458946484,,,,,,
1,11.0,FAST,174.91573769705636,0.00018673651497465941,,,,,,
1,12.0,FAST,162.3727798461914,0.00018402838622659694,,,,,,
1,13.0,FAST,150.86554173060827,0.00018109268244311975,,,,,,
1,14.0,FAST,141.13994925362724,0.0001779374501842401,,,,,,
1,15.0,FAST,131.94477898733956,0.000174571337722262,,,,,,
1,16.0,FAST,123.88731166294643,0.00017100357133746817,,,,,,
1,17.0,FAST,116.39467075892857,0.00016724393002952694,,,,,,
1,18.0,FAST,109.41359056745257,0.0001633027187139339,,,,,,
1,19.0,FAST,103.33368900844029,0.00015919073997695482,,,,,,
1,20.0,FAST,97.52838625226703,0.00015491926446648766,,,,,,
1,21.0,FAST,92.16719109671456,0.00015049999999999997,,,,,,
1,22.0,FAST,87.79127229963031,0.0001459450594742151,,,,,,
1,23.0,FAST,83.26879828316825,0.0001412669276645042,,,,,,
1,24.0,FAST,79.18736866542271,0.00013647842700498472,,,,,,
1,25.0,FAST,75.17402648925781,0.00013159268244311977,,,,,,
1,26.0,FAST,71.29816736493792,0.00012662308546514952,,,,,,
1,27.0,FAST,67.43007687159947,0.00012158325739095812,,,,,,
1,28.0,FAST,63.74833788190569,0.00011648701203898282,,,,,,
1,29.0,FAST,60.2853821345738,0.00011134831786349765,,,,,,
1,30.0,FAST,56.83344187055315,0.00010618125966805139,,,,,,
1,31.0,FAST,53.774447849818635,0.00010099999999999999,,,,,,
1,32.0,FAST,50.890573501586914,9.581874033194855e-05,,,,,,
1,33.0,FAST,48.17551694597517,9.06516821365023e-05,,,,,,
1,34.0,FAST,45.62274823869978,8.551298796101712e-05,,,,,,
1,35.0,FAST,43.105317796979634,8.04167426090418e-05,,,,,,
1,36.0,FAST,40.77599879673549,7.537691453485044e-05,,,,,,
1,37.0,FAST,38.53208787100656,7.04073175568802e-05,,,,,,
1,38.0,FAST,36.41309125082834,6.552157299501526e-05,,,,,,
1,39.0,FAST,34.50194576808384,6.0733072335495784e-05,,,,,,
1,40.0,FAST,32.8718512398856,5.605494052578486e-05,,,,,,
1,41.0,FAST,31.049937520708358,5.150000000000001e-05,,,,,,
1,42.0,FAST,29.564755031040736,4.708073553351234e-05,,,,,,
1,43.0,FAST,28.154718126569474,4.2809260023045165e-05,,,,,,
1,44.0,FAST,26.823015485491073,3.869728128606611e-05,,,,,,
1,45.0,FAST,25.499968801225936,3.475606997047307e-05,,,,,,
1,46.0,FAST,24.427941049848283,3.09964286625318e-05,,,,,,
1,47.0,FAST,23.345138958522252,2.742866227773799e-05,,,,,,
1,48.0,FAST,22.36730670928955,2.406254981575988e-05,,,,,,
1,49.0,FAST,21.477783611842565,2.090731755688021e-05,,,,,,
1,50.0,FAST,20.647474152701243,1.7971613773403027e-05,,,,,,
1,51.0,FAST,19.92765440259661,1.5263485025340566e-05,,,,,,
1,52.0,FAST,19.310555049351283,1.2790354105351586e-05,,,,,,
1,53.0,FAST,18.794318471636092,1.0558999693382501e-05,,,,,,
1,54.0,FAST,18.291130883353098,8.575537776777025e-06,,,,,,
1,55.0,FAST,17.887319701058523,6.845404886779799e-06,,,,,,
1,56.0,FAST,17.53395026070731,5.373343197382236e-06,,,,,,
1,57.0,FAST,17.25984832218715,4.1633875273532364e-06,,,,,,
1,58.0,FAST,17.03787953513009,3.2188542810813718e-06,,,,,,
1,59.0,FAST,16.833168983459473,2.5423323585409335e-06,,,,,,
2,0.0,FAST,0.0,0.0001,,,,,,
2,1.0,FAST,0.0,0.0002,,,,,,
2,2.0,FAST,0.0,0.0001998643239407028,,,,,,
2,3.0,FAST,0.0,0.00019945766764145904,,,,,,
2,4.0,FAST,0.0,0.00019878114571891863,,,,,,
2,5.0,FAST,0.0,0.00019783661247264674,,,,,,
2,6.0,FAST,0.0,0.00019662665680261773,,,,,,
2,7.0,FAST,0.0,0.0001951545951132202,,,,,,
2,8.0,FAST,0.0,0.00019342446222322295,,,,,,
2,9.0,FAST,0.0,0.00019144100030661746,,,,,,
2,10.0,FAST,0.0,0.0001892096458946484,,,,,,
2,11.0,FAST,0.0,0.00018673651497465941,,,,,,
2,12.0,FAST,0.0,0.00018402838622659694,,,,,,
2,13.0,FAST,0.0,0.00018109268244311975,,,,,,
2,14.0,FAST,0.0,0.0001779374501842401,,,,,,
2,15.0,FAST,0.0,0.000174571337722262,,,,,,
2,16.0,FAST,0.0,0.00017100357133746817,,,,,,
2,17.0,FAST,0.0,0.00016724393002952694,,,,,,
2,18.0,FAST,0.0,0.0001633027187139339,,,,,,
2,19.0,FAST,0.0,0.00015919073997695482,,,,,,
2,20.0,FAST,0.0,0.00015491926446648766,,,,,,
2,21.0,FAST,0.0,0.00015049999999999997,,,,,,
2,22.0,FAST,0.0,0.0001459450594742151,,,,,,
2,23.0,FAST,0.0,0.0001412669276645042,,,,,,
2,24.0,FAST,0.0,0.00013647842700498472,,,,,,
2,25.0,FAST,0.0,0.00013159268244311977,,,,,,
2,26.0,FAST,0.0,0.00012662308546514952,,,,,,
2,27.0,FAST,0.0,0.00012158325739095812,,,,,,
2,28.0,FAST,0.0,0.00011648701203898282,,,,,,
2,29.0,FAST,0.0,0.00011134831786349765,,,,,,
2,30.0,FAST,0.0,0.00010618125966805139,,,,,,
2,31.0,FAST,0.0,0.00010099999999999999,,,,,,
2,32.0,FAST,0.0,9.581874033194855e-05,,,,,,
2,33.0,FAST,0.0,9.06516821365023e-05,,,,,,
2,34.0,FAST,0.0,8.551298796101712e-05,,,,,,
2,35.0,FAST,0.0,8.04167426090418e-05,,,,,,
2,36.0,FAST,0.0,7.537691453485044e-05,,,,,,
2,37.0,FAST,0.0,7.04073175568802e-05,,,,,,
2,38.0,FAST,0.0,6.552157299501526e-05,,,,,,
2,39.0,FAST,0.0,6.0733072335495784e-05,,,,,,
2,40.0,FAST,0.0,5.605494052578486e-05,,,,,,
2,41.0,FAST,0.0,5.150000000000001e-05,,,,,,
2,42.0,FAST,0.0,4.708073553351234e-05,,,,,,
2,43.0,FAST,0.0,4.2809260023045165e-05,,,,,,
2,44.0,FAST,0.0,3.869728128606611e-05,,,,,,
2,45.0,FAST,0.0,3.475606997047307e-05,,,,,,
2,46.0,FAST,0.0,3.09964286625318e-05,,,,,,
2,47.0,FAST,0.0,2.742866227773799e-05,,,,,,
2,48.0,FAST,0.0,2.406254981575988e-05,,,,,,
2,49.0,FAST,0.0,2.090731755688021e-05,,,,,,
2,50.0,FAST,0.0,1.7971613773403027e-05,,,,,,
2,51.0,FAST,0.0,1.5263485025340566e-05,,,,,,
2,52.0,FAST,0.0,1.2790354105351586e-05,,,,,,
2,53.0,FAST,0.0,1.0558999693382501e-05,,,,,,
2,54.0,FAST,0.0,8.575537776777025e-06,,,,,,
2,55.0,FAST,0.0,6.845404886779799e-06,,,,,,
2,56.0,FAST,0.0,5.373343197382236e-06,,,,,,
2,57.0,FAST,0.0,4.1633875273532364e-06,,,,,,
2,58.0,FAST,0.0,3.2188542810813718e-06,,,,,,
2,59.0,FAST,0.0,2.5423323585409335e-06,,,,,,
3,0.0,FAST,0.0,0.0001,,,,,,
3,1.0,FAST,0.0,0.0002,,,,,,
3,2.0,FAST,0.0,0.0001998643239407028,,,,,,
3,3.0,FAST,0.0,0.00019945766764145904,,,,,,
3,4.0,FAST,0.0,0.00019878114571891863,,,,,,
3,5.0,FAST,0.0,0.00019783661247264674,,,,,,
3,6.0,FAST,0.0,0.00019662665680261773,,,,,,
3,7.0,FAST,0.0,0.0001951545951132202,,,,,,
3,8.0,FAST,0.0,0.00019342446222322295,,,,,,
3,9.0,FAST,0.0,0.00019144100030661746,,,,,,
3,10.0,FAST,0.0,0.0001892096458946484,,,,,,
3,11.0,FAST,0.0,0.00018673651497465941,,,,,,
3,12.0,FAST,0.0,0.00018402838622659694,,,,,,
3,13.0,FAST,0.0,0.00018109268244311975,,,,,,
3,14.0,FAST,0.0,0.0001779374501842401,,,,,,
3,15.0,FAST,0.0,0.000174571337722262,,,,,,
3,16.0,FAST,0.0,0.00017100357133746817,,,,,,
3,17.0,FAST,0.0,0.00016724393002952694,,,,,,
3,18.0,FAST,0.0,0.0001633027187139339,,,,,,
3,19.0,FAST,0.0,0.00015919073997695482,,,,,,
3,20.0,FAST,0.0,0.00015491926446648766,,,,,,
3,21.0,FAST,0.0,0.00015049999999999997,,,,,,
3,22.0,FAST,0.0,0.0001459450594742151,,,,,,
3,23.0,FAST,0.0,0.0001412669276645042,,,,,,
3,24.0,FAST,0.0,0.00013647842700498472,,,,,,
3,25.0,FAST,0.0,0.00013159268244311977,,,,,,
3,26.0,FAST,0.0,0.00012662308546514952,,,,,,
3,27.0,FAST,0.0,0.00012158325739095812,,,,,,
3,28.0,FAST,0.0,0.00011648701203898282,,,,,,
3,29.0,FAST,0.0,0.00011134831786349765,,,,,,
3,30.0,FAST,0.0,0.00010618125966805139,,,,,,
3,31.0,FAST,0.0,0.00010099999999999999,,,,,,
3,32.0,FAST,0.0,9.581874033194855e-05,,,,,,
3,33.0,FAST,0.0,9.06516821365023e-05,,,,,,
3,34.0,FAST,0.0,8.551298796101712e-05,,,,,,
3,35.0,FAST,0.0,8.04167426090418e-05,,,,,,
3,36.0,FAST,0.0,7.537691453485044e-05,,,,,,
3,37.0,FAST,0.0,7.04073175568802e-05,,,,,,
3,38.0,FAST,0.0,6.552157299501526e-05,,,,,,
3,39.0,FAST,0.0,6.0733072335495784e-05,,,,,,
3,40.0,FAST,0.0,5.605494052578486e-05,,,,,,
3,41.0,FAST,0.0,5.150000000000001e-05,,,,,,
3,42.0,FAST,0.0,4.708073553351234e-05,,,,,,
3,43.0,FAST,0.0,4.2809260023045165e-05,,,,,,
3,44.0,FAST,0.0,3.869728128606611e-05,,,,,,
3,45.0,FAST,0.0,3.475606997047307e-05,,,,,,
3,46.0,FAST,0.0,3.09964286625318e-05,,,,,,
3,47.0,FAST,0.0,2.742866227773799e-05,,,,,,
3,48.0,FAST,0.0,2.406254981575988e-05,,,,,,
3,49.0,FAST,0.0,2.090731755688021e-05,,,,,,
3,50.0,FAST,0.0,1.7971613773403027e-05,,,,,,
3,51.0,FAST,0.0,1.5263485025340566e-05,,,,,,
3,52.0,FAST,0.0,1.2790354105351586e-05,,,,,,
3,53.0,FAST,0.0,1.0558999693382501e-05,,,,,,
3,54.0,FAST,0.0,8.575537776777025e-06,,,,,,
3,55.0,FAST,0.0,6.845404886779799e-06,,,,,,
3,56.0,FAST,0.0,5.373343197382236e-06,,,,,,
3,57.0,FAST,0.0,4.1633875273532364e-06,,,,,,
3,58.0,FAST,0.0,3.2188542810813718e-06,,,,,,
3,59.0,FAST,0.0,2.5423323585409335e-06,,,,,,
4,0.0,FAST,18800.59979248047,0.0001,,,,,,
4,1.0,FAST,662.8656539916992,0.0002,,,,,,
4,2.0,FAST,320.8388023376465,0.0001998643239407028,,,,,,
4,3.0,FAST,192.08656692504883,0.00019945766764145904,,,,,,
4,4.0,FAST,81.31096315383911,0.00019878114571891863,,,,,,
4,5.0,FAST,3.8561007976531982,0.00019783661247264674,,,,,,
4,6.0,FAST,-45.49005174636841,0.00019662665680261773,,,,,,
4,7.0,FAST,-80.69095230102539,0.0001951545951132202,,,,,,
4,8.0,FAST,-107.94915008544922,0.00019342446222322295,,,,,,
4,9.0,FAST,-132.87991571426392,0.00019144100030661746,,,,,,
4,10.0,FAST,-152.55735969543457,0.0001892096458946484,,,,,,
4,11.0,FAST,-170.8231086730957,0.00018673651497465941,,,,,,
4,12.0,FAST,-185.67092895507812,0.00018402838622659694,,,,,,
4,13.0,FAST,-199.56138706207275,0.00018109268244311975,,,,,,
4,14.0,FAST,-213.51615619659424,0.0001779374501842401,,,,,,
4,15.0,FAST,-223.49409103393555,0.000174571337722262,,,,,,
4,16.0,FAST,-234.92067623138428,0.00017100357133746817,,,,,,
4,17.0,FAST,-243.40878772735596,0.00016724393002952694,,,,,,
4,18.0,FAST,-252.13204288482666,0.0001633027187139339,,,,,,
4,19.0,FAST,-260.0062313079834,0.00015919073997695482,,,,,,
4,20.0,FAST,-268.1651782989502,0.00015491926446648766,,,,,,
4,21.0,FAST,-275.5837278366089,0.00015049999999999997,,,,,,
4,22.0,FAST,-282.9513988494873,0.0001459450594742151,,,,,,
4,23.0,FAST,-290.01482582092285,0.0001412669276645042,,,,,,
4,24.0,FAST,-295.4741897583008,0.00013647842700498472,,,,,,
4,25.0,FAST,-299.5040454864502,0.00013159268244311977,,,,,,
4,26.0,FAST,-305.7930164337158,0.00012662308546514952,,,,,,
4,27.0,FAST,-309.3682384490967,0.00012158325739095812,,,,,,
4,28.0,FAST,-315.3869400024414,0.00011648701203898282,,,,,,
4,29.0,FAST,-319.5140209197998,0.00011134831786349765,,,,,,
4,30.0,FAST,-324.19714736938477,0.00010618125966805139,,,,,,
4,31.0,FAST,-328.2162895202637,0.00010099999999999999,,,,,,
4,32.0,FAST,-332.581090927124,9.581874033194855e-05,,,,,,
4,33.0,FAST,-335.8646926879883,9.06516821365023e-05,,,,,,
4,34.0,FAST,-339.3337230682373,8.551298796101712e-05,,,,,,
4,35.0,FAST,-342.5690727233887,8.04167426090418e-05,,,,,,
4,36.0,FAST,-345.9675102233887,7.537691453485044e-05,,,,,,
4,37.0,FAST,-348.6652641296387,7.04073175568802e-05,,,,,,
4,38.0,FAST,-351.54679107666016,6.552157299501526e-05,,,,,,
4,39.0,FAST,-354.3053569793701,6.0733072335495784e-05,,,,,,
4,40.0,FAST,-356.6341972351074,5.605494052578486e-05,,,,,,
4,41.0,FAST,-359.14490127563477,5.150000000000001e-05,,,,,,
4,42.0,FAST,-360.73483657836914,4.708073553351234e-05,,,,,,
4,43.0,FAST,-363.3361644744873,4.2809260023045165e-05,,,,,,
4,44.0,FAST,-365.30650520324707,3.869728128606611e-05,,,,,,
4,45.0,FAST,-368.0279312133789,3.475606997047307e-05,,,,,,
4,46.0,FAST,-369.0857334136963,3.09964286625318e-05,,,,,,
4,47.0,FAST,-371.08143615722656,2.742866227773799e-05,,,,,,
4,48.0,FAST,-371.55365562438965,2.406254981575988e-05,,,,,,
4,49.0,FAST,-372.9800491333008,2.090731755688021e-05,,,,,,
4,50.0,FAST,-374.2383842468262,1.7971613773403027e-05,,,,,,
4,51.0,FAST,-375.77624320983887,1.5263485025340566e-05,,,,,,
4,52.0,FAST,-377.2748832702637,1.2790354105351586e-05,,,,,,
4,53.0,FAST,-378.3346881866455,1.0558999693382501e-05,,,,,,
4,54.0,FAST,-379.0101718902588,8.575537776777025e-06,,,,,,
4,55.0,FAST,-378.44262313842773,6.845404886779799e-06,,,,,,
