Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9670,1.0000,0.4785
1,cable,100.00,0.9878,0.9740,0.9937,0.6535
2,capsule,100.00,0.5987,0.1092,0.8917,0.0048
3,carpet,100.00,0.4651,0.1600,0.7162,0.0087
4,grid,100.00,0.9883,0.9758,0.9962,0.2086
5,hazelnut,100.00,0.5921,0.0881,0.7006,0.0112
6,leather,100.00,1.0000,0.9840,1.0000,0.2444
7,metal_nut,100.00,0.3715,0.2934,0.7387,0.0764
8,pill,100.00,0.4294,0.3108,0.8257,0.0219
9,screw,100.00,0.6567,0.0718,0.8412,0.0013
10,tile,100.00,1.0000,0.9599,1.0000,0.6995
11,toothbrush,100.00,0.6333,0.1753,0.8032,0.0086
12,transistor,100.00,1.0000,0.9691,1.0000,0.6642
13,wood,100.00,0.9877,0.9221,0.9963,0.3328
14,zipper,100.00,0.3004,0.1601,0.6957,0.0114
Mean,Overall,100.00,0.7341*,0.5414*,0.8799*,0.2284*
