Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9666,1.0000,0.4793
1,cable,100.00,0.9871,0.9713,0.9927,0.6555
2,capsule,100.00,0.9238,0.9857,0.9820,0.3512
3,carpet,100.00,0.9904,0.9812,0.9973,0.3847
4,grid,100.00,0.9858,0.9739,0.9955,0.2272
5,hazelnut,100.00,1.0000,0.9854,1.0000,0.5205
6,leather,100.00,1.0000,0.9849,1.0000,0.2514
7,metal_nut,100.00,1.0000,0.9847,1.0000,0.8694
8,pill,100.00,0.9763,0.9890,0.9960,0.8292
9,screw,100.00,0.8582,0.9798,0.9428,0.1933
10,tile,100.00,1.0000,0.9604,1.0000,0.6945
11,toothbrush,100.00,0.9028,0.9845,0.9537,0.5143
12,transistor,100.00,1.0000,0.9610,1.0000,0.6453
13,wood,100.00,0.9895,0.9277,0.9968,0.3683
14,zipper,100.00,0.9793,0.9697,0.9941,0.2858
Mean,Overall,100.00,0.9729*,0.9737*,0.9901*,0.4847*
