metric,value
experiment_name,MVTec-WRN50-DIA2-LoRA128
strategy,MoLE-Flow
final_average_img_auc,0.9728660687274417
final_average_pixel_auc,0.9737154422571739
final_average_img_ap,0.9900616568373442
final_average_pixel_ap,0.48465634040489003
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9665943354052637
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.4792661180053875
cable_img_auc,0.9870689655172414
cable_pixel_auc,0.9713117652899215
cable_img_ap,0.9927484076064261
cable_pixel_ap,0.6554560408271305
capsule_img_auc,0.92381332269645
capsule_pixel_auc,0.9857305805608306
capsule_img_ap,0.9820217517849194
capsule_pixel_ap,0.35123923477289726
carpet_img_auc,0.9903691813804172
carpet_pixel_auc,0.9812238836264893
carpet_img_ap,0.9972729618465265
carpet_pixel_ap,0.3847494266284121
grid_img_auc,0.985797827903091
grid_pixel_auc,0.9739264907633364
grid_img_ap,0.9954642298345486
grid_pixel_ap,0.22722484093292927
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.9853738097595647
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.5204728699695741
leather_img_auc,1.0
leather_pixel_auc,0.9848791413751785
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.25141591761858706
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9846607448978449
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.8694439616361316
pill_img_auc,0.9762684124386252
pill_pixel_auc,0.9889854542184582
pill_img_ap,0.9960154596655384
pill_pixel_ap,0.8291731300437555
screw_img_auc,0.8581676573068251
screw_pixel_auc,0.9798326001625627
screw_img_ap,0.9427600325533902
screw_pixel_ap,0.19326777115136337
tile_img_auc,1.0
tile_pixel_auc,0.9603889955395815
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6944692597610401
toothbrush_img_auc,0.9027777777777778
toothbrush_pixel_auc,0.9844997210857022
toothbrush_img_ap,0.9537103326152601
toothbrush_pixel_ap,0.5142701259308131
transistor_img_auc,1.0
transistor_pixel_auc,0.960976248374934
transistor_img_ap,1.0
transistor_pixel_ap,0.6453182292587044
wood_img_auc,0.9894736842105263
wood_pixel_auc,0.927665004735342
wood_img_ap,0.9968044686520591
wood_pixel_ap,0.36828356387677086
zipper_img_auc,0.9792542016806722
zipper_pixel_auc,0.9696828580625985
zipper_img_ap,0.9941272080014927
zipper_pixel_ap,0.2857946156598538
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9728660687274417
oracle_mean_pixel_auc,0.9737154422571739
