Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9642,1.0000,0.4536
1,cable,100.00,0.9908,0.9750,0.9950,0.6576
2,capsule,100.00,0.9589,0.9854,0.9901,0.3511
3,carpet,100.00,0.9848,0.9817,0.9957,0.4207
4,grid,100.00,0.9933,0.9754,0.9977,0.1996
5,hazelnut,100.00,1.0000,0.9845,1.0000,0.5013
6,leather,100.00,1.0000,0.9816,1.0000,0.2304
7,metal_nut,100.00,1.0000,0.9844,1.0000,0.8713
8,pill,100.00,0.9875,0.9882,0.9978,0.8062
9,screw,100.00,0.9061,0.9828,0.9646,0.2077
10,tile,100.00,1.0000,0.9576,1.0000,0.6783
11,toothbrush,100.00,0.8972,0.9810,0.9532,0.4344
12,transistor,100.00,1.0000,0.9671,1.0000,0.6551
13,wood,100.00,0.9886,0.9209,0.9965,0.3202
14,zipper,100.00,0.9958,0.9746,0.9989,0.3158
Mean,Overall,100.00,0.9802*,0.9736*,0.9926*,0.4735*
