task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,818.852792593149,0.0001998643239407028,,,,,,
0,1.0,BASE,457.9906029334435,0.00019945766764145904,,,,,,
0,2.0,BASE,226.500980083759,0.00019878114571891863,,,,,,
0,3.0,BASE,62.18512989924504,0.00019783661247264674,,,,,,
0,4.0,BASE,-32.76925409757174,0.00019662665680261773,,,,,,
0,5.0,BASE,-90.506469139686,0.0001951545951132202,,,,,,
0,6.0,BASE,-142.8292952317458,0.00019342446222322295,,,,,,
0,7.0,BASE,-191.06485220102164,0.00019144100030661746,,,,,,
0,8.0,BASE,-233.90182847243088,0.0001892096458946484,,,,,,
0,9.0,BASE,-271.9258328951322,0.00018673651497465941,,,,,,
0,10.0,BASE,-304.52616530198316,0.00018402838622659694,,,,,,
0,11.0,BASE,-330.7032447228065,0.00018109268244311975,,,,,,
0,12.0,BASE,-352.8807631272536,0.0001779374501842401,,,,,,
0,13.0,BASE,-370.40582510141223,0.000174571337722262,,,,,,
0,14.0,BASE,-393.3158874511719,0.00017100357133746817,,,,,,
0,15.0,BASE,-414.82752873347357,0.00016724393002952694,,,,,,
0,16.0,BASE,-438.53028752253607,0.0001633027187139339,,,,,,
0,17.0,BASE,-463.0282381497897,0.00015919073997695482,,,,,,
0,18.0,BASE,-485.56854013296277,0.00015491926446648766,,,,,,
0,19.0,BASE,-505.8435762845553,0.00015049999999999997,,,,,,
0,20.0,BASE,-524.6599567119891,0.0001459450594742151,,,,,,
0,21.0,BASE,-541.6203214205228,0.0001412669276645042,,,,,,
0,22.0,BASE,-557.3681405874399,0.00013647842700498472,,,,,,
0,23.0,BASE,-571.3790424053485,0.00013159268244311977,,,,,,
0,24.0,BASE,-586.1615412785457,0.00012662308546514952,,,,,,
0,25.0,BASE,-599.1666964017428,0.00012158325739095812,,,,,,
0,26.0,BASE,-610.4407113882212,0.00011648701203898282,,,,,,
0,27.0,BASE,-621.6285588191106,0.00011134831786349765,,,,,,
0,28.0,BASE,-631.9822059044471,0.00010618125966805139,,,,,,
0,29.0,BASE,-641.9295372596154,0.00010099999999999999,,,,,,
0,30.0,BASE,-650.9422889122596,9.581874033194855e-05,,,,,,
0,31.0,BASE,-659.3288010817307,9.06516821365023e-05,,,,,,
0,32.0,BASE,-668.2440983698918,8.551298796101712e-05,,,,,,
0,33.0,BASE,-675.3890380859375,8.04167426090418e-05,,,,,,
0,34.0,BASE,-683.438246506911,7.537691453485044e-05,,,,,,
0,35.0,BASE,-690.097660945012,7.04073175568802e-05,,,,,,
0,36.0,BASE,-696.6957068810096,6.552157299501526e-05,,,,,,
0,37.0,BASE,-702.9350773737981,6.0733072335495784e-05,,,,,,
0,38.0,BASE,-709.1090134840745,5.605494052578486e-05,,,,,,
0,39.0,BASE,-714.489506648137,5.150000000000001e-05,,,,,,
0,40.0,BASE,-719.4174241286057,4.708073553351234e-05,,,,,,
0,41.0,BASE,-724.6672879732572,4.2809260023045165e-05,,,,,,
0,42.0,BASE,-729.8103402944712,3.869728128606611e-05,,,,,,
0,43.0,BASE,-733.9145038311298,3.475606997047307e-05,,,,,,
0,44.0,BASE,-737.7597045898438,3.09964286625318e-05,,,,,,
0,45.0,BASE,-741.4444908728966,2.742866227773799e-05,,,,,,
0,46.0,BASE,-744.7061063326322,2.406254981575988e-05,,,,,,
0,47.0,BASE,-747.522935133714,2.090731755688021e-05,,,,,,
0,48.0,BASE,-750.2352294921875,1.7971613773403027e-05,,,,,,
0,49.0,BASE,-752.7483802208534,1.5263485025340566e-05,,,,,,
0,50.0,BASE,-754.7791982797476,1.2790354105351586e-05,,,,,,
0,51.0,BASE,-757.0967454176682,1.0558999693382501e-05,,,,,,
0,52.0,BASE,-759.2303185096154,8.575537776777025e-06,,,,,,
0,53.0,BASE,-760.7294123722957,6.845404886779799e-06,,,,,,
0,54.0,BASE,-762.2122192382812,5.373343197382236e-06,,,,,,
0,55.0,BASE,-762.9622990534856,4.1633875273532364e-06,,,,,,
0,56.0,BASE,-763.9437960111178,3.2188542810813718e-06,,,,,,
0,57.0,BASE,-765.0448420597957,2.5423323585409335e-06,,,,,,
0,58.0,BASE,-765.6465266301082,2.1356760592971906e-06,,,,,,
0,59.0,BASE,-765.8015606219952,2.0000000000000003e-06,,,,,,
1,0.0,FAST,2162.1155221121653,0.0001,,,,,,
1,1.0,FAST,648.3895132882254,0.0002,,,,,,
1,2.0,FAST,451.50284249441967,0.0001998643239407028,,,,,,
1,3.0,FAST,361.65440150669644,0.00019945766764145904,,,,,,
1,4.0,FAST,301.46219961983815,0.00019878114571891863,,,,,,
1,5.0,FAST,257.25206865583147,0.00019783661247264674,,,,,,
1,6.0,FAST,225.77046421595983,0.00019662665680261773,,,,,,
1,7.0,FAST,202.42225537981307,0.0001951545951132202,,,,,,
1,8.0,FAST,183.9235850742885,0.00019342446222322295,,,,,,
1,9.0,FAST,167.04756382533483,0.00019144100030661746,,,,,,
1,10.0,FAST,152.31375340053015,0.0001892096458946484,,,,,,
1,11.0,FAST,139.10851396833147,0.00018673651497465941,,,,,,
1,12.0,FAST,127.84744589669364,0.00018402838622659694,,,,,,
1,13.0,FAST,117.27941567557198,0.00018109268244311975,,,,,,
1,14.0,FAST,107.92206627982003,0.0001779374501842401,,,,,,
1,15.0,FAST,99.1223008292062,0.000174571337722262,,,,,,
1,16.0,FAST,91.11082785470145,0.00017100357133746817,,,,,,
1,17.0,FAST,83.77451542445591,0.00016724393002952694,,,,,,
1,18.0,FAST,77.13839449201312,0.0001633027187139339,,,,,,
1,19.0,FAST,71.0611092703683,0.00015919073997695482,,,,,,
1,20.0,FAST,65.00817843845913,0.00015491926446648766,,,,,,
1,21.0,FAST,59.576429912022185,0.00015049999999999997,,,,,,
1,22.0,FAST,54.578102929251536,0.0001459450594742151,,,,,,
1,23.0,FAST,49.36412838527134,0.0001412669276645042,,,,,,
1,24.0,FAST,45.11689785548619,0.00013647842700498472,,,,,,
1,25.0,FAST,40.71979127611433,0.00013159268244311977,,,,,,
1,26.0,FAST,36.527876717703684,0.00012662308546514952,,,,,,
1,27.0,FAST,32.96307577405657,0.00012158325739095812,,,,,,
1,28.0,FAST,29.215760231018066,0.00011648701203898282,,,,,,
1,29.0,FAST,25.959269523620605,0.00011134831786349765,,,,,,
1,30.0,FAST,22.647994586399623,0.00010618125966805139,,,,,,
1,31.0,FAST,19.60794230869838,0.00010099999999999999,,,,,,
1,32.0,FAST,16.76877784729004,9.581874033194855e-05,,,,,,
1,33.0,FAST,13.81951195853097,9.06516821365023e-05,,,,,,
1,34.0,FAST,11.310615948268346,8.551298796101712e-05,,,,,,
1,35.0,FAST,8.771038600376674,8.04167426090418e-05,,,,,,
1,36.0,FAST,6.463447298322405,7.537691453485044e-05,,,,,,
1,37.0,FAST,4.247049604143415,7.04073175568802e-05,,,,,,
1,38.0,FAST,2.0078259876796176,6.552157299501526e-05,,,,,,
1,39.0,FAST,0.013883590698242188,6.0733072335495784e-05,,,,,,
1,40.0,FAST,-1.868541853768485,5.605494052578486e-05,,,,,,
1,41.0,FAST,-3.6316589627947127,5.150000000000001e-05,,,,,,
1,42.0,FAST,-5.338926587785993,4.708073553351234e-05,,,,,,
1,43.0,FAST,-6.824552399771554,4.2809260023045165e-05,,,,,,
1,44.0,FAST,-8.250636373247419,3.869728128606611e-05,,,,,,
1,45.0,FAST,-9.643597875322614,3.475606997047307e-05,,,,,,
1,46.0,FAST,-10.909509795052665,3.09964286625318e-05,,,,,,
1,47.0,FAST,-12.078492982046944,2.742866227773799e-05,,,,,,
