Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9658,1.0000,0.4638
1,cable,100.00,0.9914,0.9773,0.9955,0.6313
2,capsule,100.00,0.9677,0.9846,0.9926,0.3270
3,carpet,100.00,0.9932,0.9818,0.9980,0.3705
4,grid,100.00,0.9925,0.9740,0.9975,0.1752
5,hazelnut,100.00,1.0000,0.9844,1.0000,0.5039
6,leather,100.00,1.0000,0.9793,1.0000,0.2003
7,metal_nut,100.00,0.9995,0.9795,0.9999,0.8061
8,pill,100.00,0.9831,0.9882,0.9970,0.7949
9,screw,100.00,0.9305,0.9866,0.9734,0.2328
10,tile,100.00,1.0000,0.9563,1.0000,0.6253
11,toothbrush,100.00,0.8972,0.9801,0.9532,0.3999
12,transistor,100.00,1.0000,0.9671,1.0000,0.6435
13,wood,100.00,0.9895,0.9220,0.9968,0.3482
14,zipper,100.00,0.9863,0.9723,0.9963,0.2893
Mean,Overall,100.00,0.9821*,0.9733*,0.9933*,0.4541*
