class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.964144857478711,False,1.0
cable,1,0.9923163418290855,0.9749474289312456,False,1.0
capsule,2,0.9509373753490228,0.9854608430649392,False,1.0
carpet,3,0.9859550561797752,0.9819414977885165,False,1.0
grid,4,0.9874686716791979,0.9751725875522059,False,1.0
hazelnut,5,1.0,0.9845230891952828,False,1.0
leather,6,1.0,0.9814115147465371,False,1.0
metal_nut,7,1.0,0.9843697393188832,False,1.0
pill,8,0.9825422804146208,0.9882383301166052,True,1.0
Average,,0.9888021917168557,0.9800233209103253,,1.0
Task_0_Average,0,1.0,0.964144857478711,,1.0
Task_1_Average,1,0.9923163418290855,0.9749474289312456,,1.0
Task_2_Average,2,0.9509373753490228,0.9854608430649392,,1.0
Task_3_Average,3,0.9859550561797752,0.9819414977885165,,1.0
Task_4_Average,4,0.9874686716791979,0.9751725875522059,,1.0
Task_5_Average,5,1.0,0.9845230891952828,,1.0
Task_6_Average,6,1.0,0.9814115147465371,,1.0
Task_7_Average,7,1.0,0.9843697393188832,,1.0
Task_8_Average,8,0.9825422804146208,0.9882383301166052,,1.0
