Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9641,1.0000,0.4525
1,cable,100.00,0.9923,0.9749,0.9957,0.6579
2,capsule,100.00,0.9509,0.9855,0.9885,0.3517
3,carpet,100.00,0.9860,0.9819,0.9960,0.4212
4,grid,100.00,0.9875,0.9752,0.9960,0.1979
5,hazelnut,100.00,1.0000,0.9845,1.0000,0.5015
6,leather,100.00,1.0000,0.9814,1.0000,0.2300
7,metal_nut,100.00,1.0000,0.9844,1.0000,0.8703
8,pill,100.00,0.9825,0.9882,0.9970,0.8069
9,screw,100.00,0.8965,0.9829,0.9600,0.2080
10,tile,100.00,1.0000,0.9577,1.0000,0.6785
11,toothbrush,100.00,0.9111,0.9810,0.9615,0.4358
12,transistor,100.00,1.0000,0.9669,1.0000,0.6548
13,wood,100.00,0.9904,0.9214,0.9971,0.3219
14,zipper,100.00,0.9945,0.9747,0.9986,0.3163
Mean,Overall,100.00,0.9794*,0.9736*,0.9927*,0.4737*
