Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9774,1.0000,0.6022
1,cable,100.00,0.9925,0.9768,0.9958,0.6306
2,capsule,100.00,0.9601,0.9860,0.9907,0.3639
3,carpet,100.00,0.9896,0.9859,0.9971,0.5098
4,grid,100.00,0.9891,0.9753,0.9964,0.2211
5,hazelnut,100.00,1.0000,0.9850,1.0000,0.5112
6,leather,100.00,1.0000,0.9864,1.0000,0.2715
7,metal_nut,100.00,1.0000,0.9783,1.0000,0.8131
8,pill,100.00,0.9825,0.9883,0.9969,0.7964
9,screw,100.00,0.9258,0.9845,0.9707,0.2212
10,tile,100.00,1.0000,0.9598,1.0000,0.6388
11,toothbrush,100.00,0.9333,0.9837,0.9715,0.4730
12,transistor,100.00,1.0000,0.9593,1.0000,0.6294
13,wood,100.00,0.9886,0.9314,0.9966,0.3938
14,zipper,100.00,0.9863,0.9751,0.9964,0.3343
Mean,Overall,100.00,0.9832*,0.9755*,0.9941*,0.4940*
