Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9762,1.0000,0.5803
1,cable,100.00,0.9923,0.9756,0.9958,0.6250
2,capsule,100.00,0.9601,0.9858,0.9907,0.3660
3,carpet,100.00,0.9948,0.9857,0.9985,0.4621
4,grid,100.00,0.9866,0.9740,0.9955,0.2046
5,hazelnut,100.00,1.0000,0.9854,1.0000,0.5150
6,leather,100.00,1.0000,0.9853,1.0000,0.2486
7,metal_nut,100.00,1.0000,0.9788,1.0000,0.8067
8,pill,100.00,0.9836,0.9884,0.9971,0.7969
9,screw,100.00,0.9190,0.9848,0.9687,0.2307
10,tile,100.00,1.0000,0.9579,1.0000,0.6122
11,toothbrush,100.00,0.9333,0.9830,0.9715,0.4544
12,transistor,100.00,1.0000,0.9592,1.0000,0.6283
13,wood,100.00,0.9877,0.9299,0.9963,0.3905
14,zipper,100.00,0.9845,0.9744,0.9957,0.3253
Mean,Overall,100.00,0.9828*,0.9750*,0.9940*,0.4831*
