task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,829.5074885441707,0.0001998643239407028,,,,,,
0,1.0,BASE,479.34293306790863,0.00019945766764145904,,,,,,
0,2.0,BASE,262.04847365159253,0.00019878114571891863,,,,,,
0,3.0,BASE,113.00552074725812,0.00019783661247264674,,,,,,
0,4.0,BASE,30.080067194425144,0.00019662665680261773,,,,,,
0,5.0,BASE,-25.854587848369892,0.0001951545951132202,,,,,,
0,6.0,BASE,-76.3563455434946,0.00019342446222322295,,,,,,
0,7.0,BASE,-123.12079326923077,0.00019144100030661746,,,,,,
0,8.0,BASE,-163.5761953500601,0.0001892096458946484,,,,,,
0,9.0,BASE,-201.01537381685696,0.00018673651497465941,,,,,,
0,10.0,BASE,-232.8283409705529,0.00018402838622659694,,,,,,
0,11.0,BASE,-259.0110778808594,0.00018109268244311975,,,,,,
0,12.0,BASE,-282.98322237454926,0.0001779374501842401,,,,,,
0,13.0,BASE,-303.8359140249399,0.000174571337722262,,,,,,
0,14.0,BASE,-325.8839040902945,0.00017100357133746817,,,,,,
0,15.0,BASE,-345.269538292518,0.00016724393002952694,,,,,,
0,16.0,BASE,-365.3370877779447,0.0001633027187139339,,,,,,
0,17.0,BASE,-384.5259493314303,0.00015919073997695482,,,,,,
0,18.0,BASE,-401.15096341646637,0.00015491926446648766,,,,,,
0,19.0,BASE,-415.9121492826022,0.00015049999999999997,,,,,,
0,20.0,BASE,-429.8719083345853,0.0001459450594742151,,,,,,
0,21.0,BASE,-443.30250666691705,0.0001412669276645042,,,,,,
0,22.0,BASE,-456.56256338266223,0.00013647842700498472,,,,,,
0,23.0,BASE,-468.97060922475964,0.00013159268244311977,,,,,,
0,24.0,BASE,-481.1171405498798,0.00012662308546514952,,,,,,
0,25.0,BASE,-493.17638221153845,0.00012158325739095812,,,,,,
0,26.0,BASE,-503.1553649902344,0.00011648701203898282,,,,,,
0,27.0,BASE,-514.1566514235276,0.00011134831786349765,,,,,,
0,28.0,BASE,-523.9623647836538,0.00010618125966805139,,,,,,
0,29.0,BASE,-533.1268169696515,0.00010099999999999999,,,,,,
0,30.0,BASE,-542.3254770132212,9.581874033194855e-05,,,,,,
0,31.0,BASE,-551.2740243765024,9.06516821365023e-05,,,,,,
0,32.0,BASE,-559.5477764423077,8.551298796101712e-05,,,,,,
0,33.0,BASE,-567.0985952524038,8.04167426090418e-05,,,,,,
0,34.0,BASE,-574.4259831355168,7.537691453485044e-05,,,,,,
0,35.0,BASE,-581.3201575646034,7.04073175568802e-05,,,,,,
0,36.0,BASE,-588.4352651742788,6.552157299501526e-05,,,,,,
0,37.0,BASE,-594.7399479792668,6.0733072335495784e-05,,,,,,
0,38.0,BASE,-600.1324368990385,5.605494052578486e-05,,,,,,
0,39.0,BASE,-605.4483924278846,5.150000000000001e-05,,,,,,
0,40.0,BASE,-610.701890211839,4.708073553351234e-05,,,,,,
0,41.0,BASE,-615.6746215820312,4.2809260023045165e-05,,,,,,
0,42.0,BASE,-620.7572584885818,3.869728128606611e-05,,,,,,
0,43.0,BASE,-625.217529296875,3.475606997047307e-05,,,,,,
0,44.0,BASE,-628.9380680964543,3.09964286625318e-05,,,,,,
0,45.0,BASE,-632.4871591421274,2.742866227773799e-05,,,,,,
0,46.0,BASE,-635.8216740534856,2.406254981575988e-05,,,,,,
0,47.0,BASE,-638.7684936523438,2.090731755688021e-05,,,,,,
0,48.0,BASE,-641.4067946213943,1.7971613773403027e-05,,,,,,
0,49.0,BASE,-643.5016291691707,1.5263485025340566e-05,,,,,,
0,50.0,BASE,-646.0287146935096,1.2790354105351586e-05,,,,,,
0,51.0,BASE,-648.1819739708534,1.0558999693382501e-05,,,,,,
0,52.0,BASE,-649.6379159780649,8.575537776777025e-06,,,,,,
0,53.0,BASE,-650.951167179988,6.845404886779799e-06,,,,,,
0,54.0,BASE,-651.9657921424279,5.373343197382236e-06,,,,,,
0,55.0,BASE,-653.1136944110577,4.1633875273532364e-06,,,,,,
0,56.0,BASE,-653.5418231670673,3.2188542810813718e-06,,,,,,
0,57.0,BASE,-654.6287372295673,2.5423323585409335e-06,,,,,,
0,58.0,BASE,-655.220689039964,2.1356760592971906e-06,,,,,,
0,59.0,BASE,-655.4399648813101,2.0000000000000003e-06,,,,,,
1,0.0,FAST,2566.6359427315847,0.0001,,,,,,
1,1.0,FAST,669.0755440848214,0.0002,,,,,,
1,2.0,FAST,462.00186811174666,0.0001998643239407028,,,,,,
1,3.0,FAST,363.95811462402344,0.00019945766764145904,,,,,,
1,4.0,FAST,302.6294948032924,0.00019878114571891863,,,,,,
1,5.0,FAST,264.8717520577567,0.00019783661247264674,,,,,,
1,6.0,FAST,236.58614567347936,0.00019662665680261773,,,,,,
1,7.0,FAST,212.78017643519811,0.0001951545951132202,,,,,,
1,8.0,FAST,193.58212171282088,0.00019342446222322295,,,,,,
1,9.0,FAST,177.21147809709822,0.00019144100030661746,,,,,,
1,10.0,FAST,162.74422999790735,0.0001892096458946484,,,,,,
1,11.0,FAST,150.0498275756836,0.00018673651497465941,,,,,,
1,12.0,FAST,138.85677337646484,0.00018402838622659694,,,,,,
1,13.0,FAST,128.8414797101702,0.00018109268244311975,,,,,,
1,14.0,FAST,119.88267353602818,0.0001779374501842401,,,,,,
1,15.0,FAST,111.48763111659459,0.000174571337722262,,,,,,
1,16.0,FAST,103.59781428745815,0.00017100357133746817,,,,,,
1,17.0,FAST,96.93798882620675,0.00016724393002952694,,,,,,
1,18.0,FAST,89.88946369716099,0.0001633027187139339,,,,,,
1,19.0,FAST,83.53450284685407,0.00015919073997695482,,,,,,
1,20.0,FAST,78.07811791556222,0.00015491926446648766,,,,,,
1,21.0,FAST,73.01185062953404,0.00015049999999999997,,,,,,
1,22.0,FAST,68.50396265302386,0.0001459450594742151,,,,,,
1,23.0,FAST,63.52851377214704,0.0001412669276645042,,,,,,
1,24.0,FAST,59.434455326625276,0.00013647842700498472,,,,,,
1,25.0,FAST,55.6983152117048,0.00013159268244311977,,,,,,
1,26.0,FAST,50.997455324445454,0.00012662308546514952,,,,,,
1,27.0,FAST,47.55325017656599,0.00012158325739095812,,,,,,
1,28.0,FAST,43.764092854091096,0.00011648701203898282,,,,,,
1,29.0,FAST,40.14132717677525,0.00011134831786349765,,,,,,
1,30.0,FAST,36.732414790562224,0.00010618125966805139,,,,,,
1,31.0,FAST,33.45174830300467,0.00010099999999999999,,,,,,
1,32.0,FAST,30.354589462280273,9.581874033194855e-05,,,,,,
1,33.0,FAST,27.438227108546666,9.06516821365023e-05,,,,,,
1,34.0,FAST,24.908401489257812,8.551298796101712e-05,,,,,,
1,35.0,FAST,22.43792458942958,8.04167426090418e-05,,,,,,
1,36.0,FAST,19.86766747065953,7.537691453485044e-05,,,,,,
1,37.0,FAST,17.658737863813126,7.04073175568802e-05,,,,,,
1,38.0,FAST,15.4953111239842,6.552157299501526e-05,,,,,,
1,39.0,FAST,13.590130874088832,6.0733072335495784e-05,,,,,,
1,40.0,FAST,11.677733421325684,5.605494052578486e-05,,,,,,
1,41.0,FAST,9.887050015585762,5.150000000000001e-05,,,,,,
1,42.0,FAST,7.945627076285226,4.708073553351234e-05,,,,,,
1,43.0,FAST,6.761712823595319,4.2809260023045165e-05,,,,,,
1,44.0,FAST,5.156545162200928,3.869728128606611e-05,,,,,,
1,45.0,FAST,3.671976225716727,3.475606997047307e-05,,,,,,
1,46.0,FAST,2.549436773572649,3.09964286625318e-05,,,,,,
1,47.0,FAST,1.312527792794364,2.742866227773799e-05,,,,,,
1,48.0,FAST,0.5379682268415179,2.406254981575988e-05,,,,,,
1,49.0,FAST,-0.6224045072283063,2.090731755688021e-05,,,,,,
1,50.0,FAST,-1.5892065593174525,1.7971613773403027e-05,,,,,,
