metric,value
experiment_name,Exp17-TailW0.5-TopK5-LogdetReg1e-4-LoRA128-DIA6
strategy,MoLE-Flow
final_average_img_auc,0.982719487310218
final_average_pixel_auc,0.9767829488211943
final_average_img_ap,0.9926528541835977
final_average_pixel_ap,0.510168469022514
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9789017803964168
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.632246468914434
cable_img_auc,0.9908170914542729
cable_pixel_auc,0.97588297162257
cable_img_ap,0.9951260218947132
cable_pixel_ap,0.6297259910143765
capsule_img_auc,0.9676904666932589
capsule_pixel_auc,0.9861674047664688
capsule_img_ap,0.9923119264417986
capsule_pixel_ap,0.3788414166702771
carpet_img_auc,0.995585874799358
carpet_pixel_auc,0.986967291808372
carpet_img_ap,0.9986921918254358
carpet_pixel_ap,0.5344002278769198
grid_img_auc,0.9891395154553049
grid_pixel_auc,0.9751918354796613
grid_img_ap,0.9961900025620607
grid_pixel_ap,0.22644554316651036
hazelnut_img_auc,0.9992857142857142
hazelnut_pixel_auc,0.985367803718993
hazelnut_img_ap,0.9995947111238859
hazelnut_pixel_ap,0.5295985522450865
leather_img_auc,1.0
leather_pixel_auc,0.9891612291749561
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.3138515815499509
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9777808508322672
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.8215216283779079
pill_img_auc,0.9904528096017458
pill_pixel_auc,0.9893022358821929
pill_img_ap,0.9983294316511158
pill_pixel_ap,0.7963179017105662
screw_img_auc,0.9219102275056364
screw_pixel_auc,0.9831983030534076
screw_img_ap,0.9681546990856607
screw_pixel_ap,0.20787960790172738
tile_img_auc,1.0
tile_pixel_auc,0.9636952735291547
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6741100713986947
toothbrush_img_auc,0.9111111111111111
toothbrush_pixel_auc,0.9844721275383551
toothbrush_img_ap,0.9605883110370981
toothbrush_pixel_ap,0.5008495499346208
transistor_img_auc,0.9924999999999999
transistor_pixel_auc,0.964169457048202
transistor_img_ap,0.9857839557062007
transistor_pixel_ap,0.6358271603752037
wood_img_auc,0.9912280701754386
wood_pixel_auc,0.9359747665064524
wood_img_ap,0.9973089698430356
wood_pixel_ap,0.42846548363056747
zipper_img_auc,0.9910714285714286
zipper_pixel_auc,0.9755109009604459
zipper_img_ap,0.9977125915829618
zipper_pixel_ap,0.34244585057086707
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.982719487310218
oracle_mean_pixel_auc,0.9767829488211943
