class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9806712956392816,False,1.0
cable,1,0.9913793103448275,0.9767581040606331,False,1.0
capsule,2,0.9668927004387715,0.9864858001588346,False,1.0
carpet,3,0.9947833065810594,0.9883270999482221,False,1.0
grid,4,0.9866332497911445,0.9760884947233844,False,1.0
hazelnut,5,1.0,0.9854180883125933,True,1.0
Average,,0.9899480945259671,0.9822914804738249,,1.0
Task_0_Average,0,1.0,0.9806712956392816,,1.0
Task_1_Average,1,0.9913793103448275,0.9767581040606331,,1.0
Task_2_Average,2,0.9668927004387715,0.9864858001588346,,1.0
Task_3_Average,3,0.9947833065810594,0.9883270999482221,,1.0
Task_4_Average,4,0.9866332497911445,0.9760884947233844,,1.0
Task_5_Average,5,1.0,0.9854180883125933,,1.0
