class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9676837243886618,False,1.0
cable,1,0.9921289355322338,0.9760831469039615,False,1.0
capsule,2,0.9668927004387715,0.9847169914946005,False,1.0
carpet,3,0.9867576243980738,0.9814249636238732,False,1.0
grid,4,0.9983291562238931,0.9759244784418787,True,1.0
Average,,0.9888216833185945,0.9771666609705951,,1.0
Task_0_Average,0,1.0,0.9676837243886618,,1.0
Task_1_Average,1,0.9921289355322338,0.9760831469039615,,1.0
Task_2_Average,2,0.9668927004387715,0.9847169914946005,,1.0
Task_3_Average,3,0.9867576243980738,0.9814249636238732,,1.0
Task_4_Average,4,0.9983291562238931,0.9759244784418787,,1.0
