Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9687,1.0000,0.4942
1,cable,100.00,0.9906,0.9761,0.9952,0.6385
2,capsule,100.00,0.9713,0.9848,0.9932,0.3460
3,carpet,100.00,0.9944,0.9831,0.9983,0.4143
4,grid,100.00,0.9967,0.9748,0.9988,0.1865
5,hazelnut,100.00,1.0000,0.9847,1.0000,0.5018
6,leather,100.00,1.0000,0.9810,1.0000,0.2088
7,metal_nut,100.00,1.0000,0.9807,1.0000,0.8208
8,pill,100.00,0.9885,0.9884,0.9979,0.7918
9,screw,100.00,0.9287,0.9855,0.9709,0.2241
10,tile,100.00,1.0000,0.9560,1.0000,0.6284
11,toothbrush,100.00,0.9000,0.9811,0.9550,0.4196
12,transistor,100.00,0.9954,0.9697,0.9923,0.6493
13,wood,100.00,0.9877,0.9230,0.9962,0.3546
14,zipper,100.00,0.9884,0.9737,0.9967,0.3052
Mean,Overall,100.00,0.9828*,0.9741*,0.9930*,0.4656*
