task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,829.4984788161057,0.0001998643239407028,,,,,,
0,1.0,BASE,479.2403259277344,0.00019945766764145904,,,,,,
0,2.0,BASE,261.8240215594952,0.00019878114571891863,,,,,,
0,3.0,BASE,112.63248091477614,0.00019783661247264674,,,,,,
0,4.0,BASE,29.637296823354866,0.00019662665680261773,,,,,,
0,5.0,BASE,-26.71154961219201,0.0001951545951132202,,,,,,
0,6.0,BASE,-76.64089232224684,0.00019342446222322295,,,,,,
0,7.0,BASE,-121.02349853515625,0.00019144100030661746,,,,,,
0,8.0,BASE,-158.30918884277344,0.0001892096458946484,,,,,,
0,9.0,BASE,-190.8108931321364,0.00018673651497465941,,,,,,
0,10.0,BASE,-220.88230778620795,0.00018402838622659694,,,,,,
0,11.0,BASE,-250.73365314190204,0.00018109268244311975,,,,,,
0,12.0,BASE,-279.3160212590144,0.0001779374501842401,,,,,,
0,13.0,BASE,-303.5270010141226,0.000174571337722262,,,,,,
0,14.0,BASE,-325.8626779409555,0.00017100357133746817,,,,,,
0,15.0,BASE,-346.30414053109973,0.00016724393002952694,,,,,,
0,16.0,BASE,-365.4873352050781,0.0001633027187139339,,,,,,
0,17.0,BASE,-384.54632333608777,0.00015919073997695482,,,,,,
0,18.0,BASE,-401.7273723895733,0.00015491926446648766,,,,,,
0,19.0,BASE,-416.9493901179387,0.00015049999999999997,,,,,,
0,20.0,BASE,-432.86980496920074,0.0001459450594742151,,,,,,
0,21.0,BASE,-446.7726534329928,0.0001412669276645042,,,,,,
0,22.0,BASE,-459.6343031663161,0.00013647842700498472,,,,,,
0,23.0,BASE,-473.5196087176983,0.00013159268244311977,,,,,,
0,24.0,BASE,-484.9031958946815,0.00012662308546514952,,,,,,
0,25.0,BASE,-497.32366239107574,0.00012158325739095812,,,,,,
0,26.0,BASE,-507.06415499173676,0.00011648701203898282,,,,,,
0,27.0,BASE,-517.687246469351,0.00011134831786349765,,,,,,
0,28.0,BASE,-527.8247680664062,0.00010618125966805139,,,,,,
0,29.0,BASE,-536.4578294020432,0.00010099999999999999,,,,,,
0,30.0,BASE,-545.7560612605168,9.581874033194855e-05,,,,,,
0,31.0,BASE,-554.3631169245793,9.06516821365023e-05,,,,,,
0,32.0,BASE,-562.4207435021034,8.551298796101712e-05,,,,,,
0,33.0,BASE,-570.4512000450721,8.04167426090418e-05,,,,,,
0,34.0,BASE,-577.1245398888221,7.537691453485044e-05,,,,,,
0,35.0,BASE,-583.9784545898438,7.04073175568802e-05,,,,,,
0,36.0,BASE,-590.8410973182091,6.552157299501526e-05,,,,,,
0,37.0,BASE,-597.0985389122596,6.0733072335495784e-05,,,,,,
0,38.0,BASE,-602.3715350811298,5.605494052578486e-05,,,,,,
0,39.0,BASE,-607.570073054387,5.150000000000001e-05,,,,,,
0,40.0,BASE,-612.7524742713341,4.708073553351234e-05,,,,,,
0,41.0,BASE,-617.684828538161,4.2809260023045165e-05,,,,,,
0,42.0,BASE,-622.7531174879807,3.869728128606611e-05,,,,,,
0,43.0,BASE,-627.1319955679087,3.475606997047307e-05,,,,,,
0,44.0,BASE,-630.8443040114182,3.09964286625318e-05,,,,,,
0,45.0,BASE,-634.3367450420673,2.742866227773799e-05,,,,,,
0,46.0,BASE,-637.6582219050481,2.406254981575988e-05,,,,,,
0,47.0,BASE,-640.5717961237981,2.090731755688021e-05,,,,,,
0,48.0,BASE,-643.2283700796274,1.7971613773403027e-05,,,,,,
0,49.0,BASE,-645.356680063101,1.5263485025340566e-05,,,,,,
0,50.0,BASE,-647.7853111853966,1.2790354105351586e-05,,,,,,
0,51.0,BASE,-649.945307804988,1.0558999693382501e-05,,,,,,
0,52.0,BASE,-651.4211942232572,8.575537776777025e-06,,,,,,
0,53.0,BASE,-652.6907818134015,6.845404886779799e-06,,,,,,
0,54.0,BASE,-653.7391075721154,5.373343197382236e-06,,,,,,
0,55.0,BASE,-654.8501633864182,4.1633875273532364e-06,,,,,,
0,56.0,BASE,-655.2875084510216,3.2188542810813718e-06,,,,,,
0,57.0,BASE,-656.3993060772235,2.5423323585409335e-06,,,,,,
0,58.0,BASE,-656.9725623497596,2.1356760592971906e-06,,,,,,
0,59.0,BASE,-657.1797860952524,2.0000000000000003e-06,,,,,,
1,0.0,FAST,2570.422528948103,0.0001,,,,,,
1,1.0,FAST,668.364480154855,0.0002,,,,,,
1,2.0,FAST,461.18910435267856,0.0001998643239407028,,,,,,
1,3.0,FAST,363.1239994594029,0.00019945766764145904,,,,,,
1,4.0,FAST,302.1448734828404,0.00019878114571891863,,,,,,
1,5.0,FAST,264.3768855503627,0.00019783661247264674,,,,,,
1,6.0,FAST,236.53676169259208,0.00019662665680261773,,,,,,
1,7.0,FAST,213.19109235491072,0.0001951545951132202,,,,,,
1,8.0,FAST,193.66382598876953,0.00019342446222322295,,,,,,
1,9.0,FAST,176.32835170200892,0.00019144100030661746,,,,,,
1,10.0,FAST,161.87213570731026,0.0001892096458946484,,,,,,
1,11.0,FAST,149.27972303118025,0.00018673651497465941,,,,,,
1,12.0,FAST,137.9831782749721,0.00018402838622659694,,,,,,
1,13.0,FAST,128.00671168736048,0.00018109268244311975,,,,,,
1,14.0,FAST,118.9963150024414,0.0001779374501842401,,,,,,
1,15.0,FAST,110.75610678536552,0.000174571337722262,,,,,,
1,16.0,FAST,102.6781621660505,0.00017100357133746817,,,,,,
1,17.0,FAST,95.8339342389788,0.00016724393002952694,,,,,,
1,18.0,FAST,88.6836929321289,0.0001633027187139339,,,,,,
