Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9789,1.0000,0.6314
1,cable,100.00,0.9908,0.9759,0.9951,0.6298
2,capsule,100.00,0.9677,0.9861,0.9923,0.3779
3,carpet,100.00,0.9956,0.9869,0.9987,0.5313
4,grid,100.00,0.9908,0.9752,0.9967,0.2269
5,hazelnut,100.00,0.9993,0.9854,0.9996,0.5285
6,leather,100.00,1.0000,0.9891,1.0000,0.3135
7,metal_nut,100.00,1.0000,0.9779,1.0000,0.8227
8,pill,100.00,0.9907,0.9893,0.9984,0.7976
9,screw,100.00,0.9227,0.9832,0.9684,0.2081
10,tile,100.00,1.0000,0.9637,1.0000,0.6741
11,toothbrush,100.00,0.9111,0.9845,0.9606,0.4994
12,transistor,100.00,0.9925,0.9642,0.9858,0.6358
13,wood,100.00,0.9912,0.9359,0.9973,0.4275
14,zipper,100.00,0.9913,0.9755,0.9978,0.3423
Mean,Overall,100.00,0.9829*,0.9768*,0.9927*,0.5098*
