task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,861.739750788762,0.0001998643239407028,,,,,,
0,1.0,BASE,519.9507704514724,0.00019945766764145904,,,,,,
0,2.0,BASE,311.9801682692308,0.00019878114571891863,,,,,,
0,3.0,BASE,150.5947259756235,0.00019783661247264674,,,,,,
0,4.0,BASE,54.93157518826998,0.00019662665680261773,,,,,,
0,5.0,BASE,-10.456827530494103,0.0001951545951132202,,,,,,
0,6.0,BASE,-65.88260063758263,0.00019342446222322295,,,,,,
0,7.0,BASE,-116.38407135009766,0.00019144100030661746,,,,,,
0,8.0,BASE,-157.41939368614783,0.0001892096458946484,,,,,,
0,9.0,BASE,-194.68557387131912,0.00018673651497465941,,,,,,
0,10.0,BASE,-228.65220524714545,0.00018402838622659694,,,,,,
0,11.0,BASE,-254.2428436279297,0.00018109268244311975,,,,,,
0,12.0,BASE,-279.0338346041166,0.0001779374501842401,,,,,,
0,13.0,BASE,-302.20562744140625,0.000174571337722262,,,,,,
0,14.0,BASE,-321.052241398738,0.00017100357133746817,,,,,,
0,15.0,BASE,-340.5137376051683,0.00016724393002952694,,,,,,
0,16.0,BASE,-359.2072237454928,0.0001633027187139339,,,,,,
0,17.0,BASE,-376.7448331392728,0.00015919073997695482,,,,,,
0,18.0,BASE,-393.75896512545074,0.00015491926446648766,,,,,,
0,19.0,BASE,-409.82850060096155,0.00015049999999999997,,,,,,
0,20.0,BASE,-424.40509737454926,0.0001459450594742151,,,,,,
0,21.0,BASE,-438.9212153508113,0.0001412669276645042,,,,,,
0,22.0,BASE,-451.1470689039964,0.00013647842700498472,,,,,,
0,23.0,BASE,-463.8567082331731,0.00013159268244311977,,,,,,
0,24.0,BASE,-475.1105698805589,0.00012662308546514952,,,,,,
0,25.0,BASE,-486.89017193134015,0.00012158325739095812,,,,,,
0,26.0,BASE,-497.45570021409253,0.00011648701203898282,,,,,,
0,27.0,BASE,-508.0701575646034,0.00011134831786349765,,,,,,
0,28.0,BASE,-516.9129990797776,0.00010618125966805139,,,,,,
0,29.0,BASE,-526.705308180589,0.00010099999999999999,,,,,,
0,30.0,BASE,-535.4578951322115,9.581874033194855e-05,,,,,,
0,31.0,BASE,-543.5885573167068,9.06516821365023e-05,,,,,,
0,32.0,BASE,-553.4396221454327,8.551298796101712e-05,,,,,,
0,33.0,BASE,-560.3026310847356,8.04167426090418e-05,,,,,,
0,34.0,BASE,-567.5684861403245,7.537691453485044e-05,,,,,,
0,35.0,BASE,-574.338608961839,7.04073175568802e-05,,,,,,
0,36.0,BASE,-580.7048809344952,6.552157299501526e-05,,,,,,
0,37.0,BASE,-586.729487492488,6.0733072335495784e-05,,,,,,
0,38.0,BASE,-593.1429678109976,5.605494052578486e-05,,,,,,
0,39.0,BASE,-598.8873666616587,5.150000000000001e-05,,,,,,
0,40.0,BASE,-603.3129272460938,4.708073553351234e-05,,,,,,
0,41.0,BASE,-608.4821120042068,4.2809260023045165e-05,,,,,,
0,42.0,BASE,-613.2640944260818,3.869728128606611e-05,,,,,,
0,43.0,BASE,-617.5440063476562,3.475606997047307e-05,,,,,,
0,44.0,BASE,-621.3642249474159,3.09964286625318e-05,,,,,,
0,45.0,BASE,-624.824721116286,2.742866227773799e-05,,,,,,
0,46.0,BASE,-627.8448768028846,2.406254981575988e-05,,,,,,
0,47.0,BASE,-631.3103684645432,2.090731755688021e-05,,,,,,
0,48.0,BASE,-633.0889892578125,1.7971613773403027e-05,,,,,,
0,49.0,BASE,-635.5182260366587,1.5263485025340566e-05,,,,,,
0,50.0,BASE,-637.8870661808894,1.2790354105351586e-05,,,,,,
0,51.0,BASE,-639.3896108774038,1.0558999693382501e-05,,,,,,
0,52.0,BASE,-641.0661198542668,8.575537776777025e-06,,,,,,
0,53.0,BASE,-642.2390981820913,6.845404886779799e-06,,,,,,
0,54.0,BASE,-643.7072096604568,5.373343197382236e-06,,,,,,
0,55.0,BASE,-644.0494666466346,4.1633875273532364e-06,,,,,,
0,56.0,BASE,-645.4173912635216,3.2188542810813718e-06,,,,,,
0,57.0,BASE,-645.5570209209735,2.5423323585409335e-06,,,,,,
0,58.0,BASE,-645.8847891000601,2.1356760592971906e-06,,,,,,
0,59.0,BASE,-646.6338313176082,2.0000000000000003e-06,,,,,,
1,0.0,FAST,6931.489118303572,0.0001,,,,,,
1,1.0,FAST,1058.1585954938616,0.0002,,,,,,
1,2.0,FAST,514.2632904052734,0.0001998643239407028,,,,,,
1,3.0,FAST,416.56318228585377,0.00019945766764145904,,,,,,
1,4.0,FAST,348.4218074253627,0.00019878114571891863,,,,,,
1,5.0,FAST,301.72459193638394,0.00019783661247264674,,,,,,
1,6.0,FAST,267.40922110421315,0.00019662665680261773,,,,,,
1,7.0,FAST,241.62748391287667,0.0001951545951132202,,,,,,
1,8.0,FAST,219.97698756626673,0.00019342446222322295,,,,,,
1,9.0,FAST,201.99131992885046,0.00019144100030661746,,,,,,
1,10.0,FAST,186.90290178571428,0.0001892096458946484,,,,,,
1,11.0,FAST,173.58445412772042,0.00018673651497465941,,,,,,
1,12.0,FAST,162.0675266810826,0.00018402838622659694,,,,,,
1,13.0,FAST,151.48941149030412,0.00018109268244311975,,,,,,
1,14.0,FAST,142.35598645891463,0.0001779374501842401,,,,,,
1,15.0,FAST,133.75219072614397,0.000174571337722262,,,,,,
