class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9797982135795509,False,1.0
cable,1,0.989880059970015,0.974949681430443,False,1.0
capsule,2,0.9641005185480654,0.9869837015862146,False,1.0
carpet,3,0.9935794542536115,0.9873708194298727,False,1.0
grid,4,0.9933166248955723,0.974582444551404,False,1.0
hazelnut,5,0.9996428571428572,0.9859260201305041,False,1.0
leather,6,1.0,0.9898778127592888,False,1.0
metal_nut,7,1.0,0.976739137077272,False,1.0
pill,8,0.9877250409165302,0.9889720782880707,False,1.0
screw,9,0.9169911867185899,0.9823673328181766,False,1.0
tile,10,1.0,0.9649910517054014,False,1.0
toothbrush,11,0.9166666666666666,0.9842945464406201,False,1.0
transistor,12,0.9937499999999999,0.9626300729016534,False,1.0
wood,13,0.987719298245614,0.934551031576241,False,1.0
zipper,14,0.9947478991596639,0.9763589536572389,True,1.0
Average,,0.9825413071011457,0.9766928598621303,,1.0
Task_0_Average,0,1.0,0.9797982135795509,,1.0
Task_1_Average,1,0.989880059970015,0.974949681430443,,1.0
Task_2_Average,2,0.9641005185480654,0.9869837015862146,,1.0
Task_3_Average,3,0.9935794542536115,0.9873708194298727,,1.0
Task_4_Average,4,0.9933166248955723,0.974582444551404,,1.0
Task_5_Average,5,0.9996428571428572,0.9859260201305041,,1.0
Task_6_Average,6,1.0,0.9898778127592888,,1.0
Task_7_Average,7,1.0,0.976739137077272,,1.0
Task_8_Average,8,0.9877250409165302,0.9889720782880707,,1.0
Task_9_Average,9,0.9169911867185899,0.9823673328181766,,1.0
Task_10_Average,10,1.0,0.9649910517054014,,1.0
Task_11_Average,11,0.9166666666666666,0.9842945464406201,,1.0
Task_12_Average,12,0.9937499999999999,0.9626300729016534,,1.0
Task_13_Average,13,0.987719298245614,0.934551031576241,,1.0
Task_14_Average,14,0.9947478991596639,0.9763589536572389,,1.0
