Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9832,1.0000,0.7430
1,cable,100.00,0.9599,0.9321,0.9779,0.5523
2,capsule,100.00,0.4595,0.5593,0.8197,0.0116
3,carpet,100.00,0.3700,0.5144,0.7300,0.0190
4,grid,100.00,0.8964,0.9276,0.9653,0.2140
5,hazelnut,100.00,0.9979,0.9834,0.9988,0.5768
6,leather,100.00,1.0000,0.9926,1.0000,0.4106
7,metal_nut,100.00,0.9878,0.8887,0.9973,0.5756
8,pill,100.00,0.9465,0.9882,0.9896,0.8288
9,screw,100.00,0.6772,0.9247,0.8568,0.0835
10,tile,100.00,1.0000,0.9659,1.0000,0.6274
11,toothbrush,100.00,0.7861,0.9685,0.9215,0.5566
12,transistor,100.00,0.9321,0.7813,0.9349,0.5030
13,wood,100.00,0.9763,0.9442,0.9925,0.5133
14,zipper,100.00,0.9519,0.9648,0.9855,0.3322
Mean,Overall,100.00,0.8628*,0.8879*,0.9447*,0.4365*
