metric,value
experiment_name,MoLE-Only-NCL10
strategy,MoLE-Flow
final_average_img_auc,0.8627743614633139
final_average_pixel_auc,0.887920725535973
final_average_img_ap,0.944661316800106
final_average_pixel_ap,0.43649448150025005
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9831670562534987
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.7429782494238616
cable_img_auc,0.9598950524737632
cable_pixel_auc,0.9321063600511512
cable_img_ap,0.9779391387521448
cable_pixel_ap,0.552256526023799
capsule_img_auc,0.4595133625847627
capsule_pixel_auc,0.5592809703185505
capsule_img_ap,0.8197249738250763
capsule_pixel_ap,0.011630004120657171
carpet_img_auc,0.3699839486356341
carpet_pixel_auc,0.5144233569176219
carpet_img_ap,0.7300228660454301
carpet_pixel_ap,0.01895709811580984
grid_img_auc,0.8964076858813701
grid_pixel_auc,0.9275603684090087
grid_img_ap,0.9652576587591717
grid_pixel_ap,0.2139777690745239
hazelnut_img_auc,0.9978571428571429
hazelnut_pixel_auc,0.9834089843391162
hazelnut_img_ap,0.9988435374149658
hazelnut_pixel_ap,0.5768081262307183
leather_img_auc,1.0
leather_pixel_auc,0.9926383055611256
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.41056393820717785
metal_nut_img_auc,0.987781036168133
metal_nut_pixel_auc,0.8887205421842107
metal_nut_img_ap,0.997271938355884
metal_nut_pixel_ap,0.5756462530784203
pill_img_auc,0.9465357337697763
pill_pixel_auc,0.9881593647074429
pill_img_ap,0.9895552631533886
pill_pixel_ap,0.8287745061921991
screw_img_auc,0.6771879483500718
screw_pixel_auc,0.9247310705149074
screw_img_ap,0.8567983376640903
screw_pixel_ap,0.08347180357907902
tile_img_auc,1.0
tile_pixel_auc,0.9658907676310742
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6273522591834372
toothbrush_img_auc,0.7861111111111112
toothbrush_pixel_auc,0.9684815302085049
toothbrush_img_ap,0.9215479753980207
toothbrush_pixel_ap,0.5565584325291675
transistor_img_auc,0.9320833333333333
transistor_pixel_auc,0.7812845534936848
transistor_img_ap,0.9349040892970804
transistor_pixel_ap,0.5029864975556539
wood_img_auc,0.9763157894736841
wood_pixel_auc,0.9442008299953191
wood_img_ap,0.9925095815002675
wood_pixel_ap,0.5132606856963245
zipper_img_auc,0.9519432773109243
zipper_pixel_auc,0.9647568224543781
zipper_img_ap,0.9855443918360711
zipper_pixel_ap,0.3321950734929223
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.8627743614633139
oracle_mean_pixel_auc,0.887920725535973
