metric,value
experiment_name,MoLE-Only-NCL12
strategy,MoLE-Flow
final_average_img_auc,0.621916032716307
final_average_pixel_auc,0.6198031208350508
final_average_img_ap,0.82239505752074
final_average_pixel_ap,0.1422565066303111
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9820554516408464
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.7138242602770692
cable_img_auc,0.6491754122938531
cable_pixel_auc,0.5946733057543616
cable_img_ap,0.695459070160847
cable_pixel_ap,0.0546301322567744
capsule_img_auc,0.44475468687674513
capsule_pixel_auc,0.5358771477781241
capsule_img_ap,0.8238357657483579
capsule_pixel_ap,0.01034021415340396
carpet_img_auc,0.3836276083467095
carpet_pixel_auc,0.563069755694953
carpet_img_ap,0.7344632172532918
carpet_pixel_ap,0.024436140402220884
grid_img_auc,0.9122807017543859
grid_pixel_auc,0.9323472297565517
grid_img_ap,0.9718068965683575
grid_pixel_ap,0.2150941835980076
hazelnut_img_auc,0.5242857142857142
hazelnut_pixel_auc,0.6929471584936366
hazelnut_img_ap,0.6450821060537462
hazelnut_pixel_ap,0.07722498020202125
leather_img_auc,0.5275135869565217
leather_pixel_auc,0.5515125630933301
leather_img_ap,0.7723914737464946
leather_pixel_ap,0.036156930255419356
metal_nut_img_auc,0.4897360703812317
metal_nut_pixel_auc,0.6209937187464156
metal_nut_img_ap,0.8028420516947578
metal_nut_pixel_ap,0.1546281302914698
pill_img_auc,0.3649754500818331
pill_pixel_auc,0.6111157611974771
pill_img_ap,0.7867813115581799
pill_pixel_ap,0.07140739302338299
screw_img_auc,0.3957778233244517
screw_pixel_auc,0.2020503804681236
screw_img_ap,0.683248816423655
screw_pixel_ap,0.0014258123319727696
tile_img_auc,0.6158008658008658
tile_pixel_auc,0.6214618247743416
tile_img_ap,0.819631406285116
tile_pixel_ap,0.13323383880668435
toothbrush_img_auc,0.6277777777777779
toothbrush_pixel_auc,0.6297115407498749
toothbrush_img_ap,0.8549704562328453
toothbrush_pixel_ap,0.06312828435892348
transistor_img_auc,0.9370833333333334
transistor_pixel_auc,0.7739868452886989
transistor_img_ap,0.9377362916746659
transistor_pixel_ap,0.5032189214332491
wood_img_auc,0.6578947368421052
wood_pixel_auc,0.5357809145725096
wood_img_ap,0.8693624275119439
wood_pixel_ap,0.05733873172441546
zipper_img_auc,0.7980567226890757
zipper_pixel_auc,0.4494632145165177
zipper_img_ap,0.9383145718988436
zipper_pixel_ap,0.01775964633965179
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.621916032716307
oracle_mean_pixel_auc,0.6198031208350508
