class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9859670041445293,False,1.0
cable,1,0.9149175412293853,0.9018509382598597,False,1.0
capsule,2,0.7427203829278023,0.9795931564820337,False,1.0
carpet,3,0.9987961476725522,0.9908031793608713,False,1.0
grid,4,0.7969924812030076,0.88759468815565,False,1.0
hazelnut,5,0.9878571428571429,0.9735616774490775,False,1.0
leather,6,1.0,0.9941865638765405,False,1.0
metal_nut,7,0.9716520039100685,0.8286551042468119,False,1.0
pill,8,0.9211674849972723,0.9861075605012816,False,1.0
screw,9,0.5837261733961877,0.9110155335746262,False,1.0
tile,10,1.0,0.9709441404499813,False,1.0
toothbrush,11,0.7888888888888889,0.9626039602087838,True,1.0
Average,,0.8922265205901926,0.9477402922258372,,1.0
Task_0_Average,0,1.0,0.9859670041445293,,1.0
Task_1_Average,1,0.9149175412293853,0.9018509382598597,,1.0
Task_2_Average,2,0.7427203829278023,0.9795931564820337,,1.0
Task_3_Average,3,0.9987961476725522,0.9908031793608713,,1.0
Task_4_Average,4,0.7969924812030076,0.88759468815565,,1.0
Task_5_Average,5,0.9878571428571429,0.9735616774490775,,1.0
Task_6_Average,6,1.0,0.9941865638765405,,1.0
Task_7_Average,7,0.9716520039100685,0.8286551042468119,,1.0
Task_8_Average,8,0.9211674849972723,0.9861075605012816,,1.0
Task_9_Average,9,0.5837261733961877,0.9110155335746262,,1.0
Task_10_Average,10,1.0,0.9709441404499813,,1.0
Task_11_Average,11,0.7888888888888889,0.9626039602087838,,1.0
