Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9832,1.0000,0.7298
1,cable,100.00,0.9843,0.9720,0.9921,0.5843
2,capsule,100.00,0.9673,0.9867,0.9925,0.3831
3,carpet,100.00,0.9980,0.9900,0.9994,0.6298
4,grid,100.00,0.9858,0.9762,0.9951,0.2635
5,hazelnut,100.00,0.9996,0.9865,0.9998,0.5530
6,leather,100.00,1.0000,0.9935,1.0000,0.4658
7,metal_nut,100.00,0.9995,0.9690,0.9999,0.7443
8,pill,100.00,0.9899,0.9887,0.9983,0.8020
9,screw,100.00,0.9184,0.9786,0.9676,0.2192
10,tile,100.00,1.0000,0.9706,1.0000,0.7300
11,toothbrush,100.00,0.9278,0.9840,0.9696,0.6107
12,transistor,100.00,0.9929,0.9655,0.9883,0.6423
13,wood,100.00,0.9868,0.9421,0.9959,0.4958
14,zipper,100.00,0.9903,0.9728,0.9974,0.3521
Mean,Overall,100.00,0.9827*,0.9773*,0.9931*,0.5470*
