task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,801.1073279747596,0.0002997964859110542,,,,,,
0,1.0,BASE,432.0797823392428,0.00029918650146218856,,,,,,
0,2.0,BASE,212.61790935809796,0.00029817171857837797,,,,,,
0,3.0,BASE,67.37518699352557,0.00029675491870897016,,,,,,
0,4.0,BASE,-35.31293802994948,0.00029493998520392666,,,,,,
0,5.0,BASE,-107.38437593900241,0.0002927318926698304,,,,,,
0,6.0,BASE,-162.8609842153696,0.0002901366933348345,,,,,,
0,7.0,BASE,-209.209714449369,0.0002871615004599263,,,,,,
0,8.0,BASE,-251.34750718336838,0.0002838144688419727,,,,,,
0,9.0,BASE,-287.4500333345853,0.00028010477246198927,,,,,,
0,10.0,BASE,-319.6422048715445,0.00027604257933989555,,,,,,
0,11.0,BASE,-348.0999356783353,0.00027163902366467976,,,,,,
0,12.0,BASE,-377.07093928410455,0.00026690617527636023,,,,,,
0,13.0,BASE,-401.2878817044772,0.0002618570065833931,,,,,,
0,14.0,BASE,-425.7051039475661,0.0002565053570062024,,,,,,
0,15.0,BASE,-446.1534682053786,0.00025086589504429055,,,,,,
0,16.0,BASE,-466.1865445650541,0.00024495407807090095,,,,,,
0,17.0,BASE,-486.6087247408353,0.00023878610996543232,,,,,,
0,18.0,BASE,-504.82300743689905,0.00023237889669973157,,,,,,
0,19.0,BASE,-521.5061786358173,0.00022575000000000004,,,,,,
0,20.0,BASE,-536.0751295823318,0.00021891758921132272,,,,,,
0,21.0,BASE,-552.2062565730168,0.0002119003914967564,,,,,,
0,22.0,BASE,-567.0057936448318,0.00020471764050747717,,,,,,
0,23.0,BASE,-579.8512573242188,0.00019738902366467974,,,,,,
0,24.0,BASE,-592.9028789813702,0.00018993462819772436,,,,,,
0,25.0,BASE,-605.0072537935697,0.00018237488608643726,,,,,,
0,26.0,BASE,-618.1902888371394,0.0001747305180584743,,,,,,
0,27.0,BASE,-630.3999680739182,0.00016702247679524656,,,,,,
0,28.0,BASE,-642.0495229867788,0.00015927188950207714,,,,,,
0,29.0,BASE,-653.3895028921274,0.00015150000000000002,,,,,,
0,30.0,BASE,-664.6235539362981,0.00014372811049792285,,,,,,
0,31.0,BASE,-674.3676147460938,0.00013597752320475346,,,,,,
0,32.0,BASE,-683.1591233473557,0.0001282694819415257,,,,,,
0,33.0,BASE,-692.443612905649,0.00012062511391356272,,,,,,
