class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.982083541735788,False,1.0
cable,1,0.9878185907046476,0.9774556578199443,False,1.0
capsule,2,0.9712804148384524,0.986055021067603,False,1.0
carpet,3,0.9931781701444623,0.9880970627672147,False,1.0
grid,4,0.9841269841269842,0.9768533306355979,False,1.0
hazelnut,5,0.9989285714285714,0.9846119782828098,False,1.0
leather,6,1.0,0.9914510372496509,False,1.0
metal_nut,7,1.0,0.9727913079076919,False,1.0
pill,8,0.9923622476813966,0.989228356784032,False,1.0
screw,9,0.9126870260299242,0.9824007091124561,False,1.0
tile,10,1.0,0.9613639075577229,False,1.0
toothbrush,11,0.9,0.9838691510870707,True,1.0
Average,,0.9783651670795367,0.9813550885006319,,1.0
Task_0_Average,0,1.0,0.982083541735788,,1.0
Task_1_Average,1,0.9878185907046476,0.9774556578199443,,1.0
Task_2_Average,2,0.9712804148384524,0.986055021067603,,1.0
Task_3_Average,3,0.9931781701444623,0.9880970627672147,,1.0
Task_4_Average,4,0.9841269841269842,0.9768533306355979,,1.0
Task_5_Average,5,0.9989285714285714,0.9846119782828098,,1.0
Task_6_Average,6,1.0,0.9914510372496509,,1.0
Task_7_Average,7,1.0,0.9727913079076919,,1.0
Task_8_Average,8,0.9923622476813966,0.989228356784032,,1.0
Task_9_Average,9,0.9126870260299242,0.9824007091124561,,1.0
Task_10_Average,10,1.0,0.9613639075577229,,1.0
Task_11_Average,11,0.9,0.9838691510870707,,1.0
