class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.4666666666666666,0.63279965582782,False,1.0
cable,1,0.506184407796102,0.7084285943642316,False,1.0
capsule,2,0.6904666932588751,0.8312084946229924,False,1.0
carpet,3,0.7748796147672551,0.8272305414469278,False,1.0
grid,4,0.568922305764411,0.6607562112526612,False,1.0
hazelnut,5,0.6146428571428572,0.498035888787091,False,1.0
leather,6,0.8654891304347827,0.8082191911383578,False,1.0
metal_nut,7,0.5249266862170088,0.7323900818830713,False,1.0
pill,8,0.4593562465902892,0.8123025517637807,False,1.0
screw,9,0.5753228120516499,0.5802989220341133,True,1.0
Average,,0.6046857420689897,0.7091670133121046,,1.0
Task_0_Average,0,0.4666666666666666,0.63279965582782,,1.0
Task_1_Average,1,0.506184407796102,0.7084285943642316,,1.0
Task_2_Average,2,0.6904666932588751,0.8312084946229924,,1.0
Task_3_Average,3,0.7748796147672551,0.8272305414469278,,1.0
Task_4_Average,4,0.568922305764411,0.6607562112526612,,1.0
Task_5_Average,5,0.6146428571428572,0.498035888787091,,1.0
Task_6_Average,6,0.8654891304347827,0.8082191911383578,,1.0
Task_7_Average,7,0.5249266862170088,0.7323900818830713,,1.0
Task_8_Average,8,0.4593562465902892,0.8123025517637807,,1.0
Task_9_Average,9,0.5753228120516499,0.5802989220341133,,1.0
