Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,0.6579,0.5208,0.8438,0.0610
1,cable,100.00,0.4689,0.5580,0.6445,0.0302
2,capsule,100.00,0.6183,0.8133,0.9006,0.0485
3,carpet,100.00,0.6838,0.9411,0.8666,0.3700
4,grid,100.00,0.5990,0.5990,0.7788,0.0091
5,hazelnut,100.00,0.7482,0.6316,0.8465,0.0362
6,leather,100.00,0.7901,0.9303,0.9082,0.2741
7,metal_nut,100.00,0.4115,0.7238,0.7956,0.1857
8,pill,100.00,0.5338,0.3529,0.8655,0.0233
9,screw,100.00,0.5185,0.4699,0.7402,0.0023
10,tile,100.00,0.7092,0.7684,0.8917,0.4033
11,toothbrush,100.00,0.6000,0.8563,0.7903,0.1051
12,transistor,100.00,0.4167,0.5198,0.3479,0.0472
13,wood,100.00,0.5605,0.6745,0.8116,0.0838
14,zipper,100.00,0.6987,0.8708,0.9065,0.1631
Mean,Overall,100.00,0.6010*,0.6820*,0.7959*,0.1229*
