class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8999,0.8918351345532186,False,1.0
capsules,1,0.8753333333333334,0.9662087105659172,False,1.0
cashew,2,0.9743999999999999,0.9807213670870308,False,1.0
chewinggum,3,0.9380000000000001,0.9523787477492295,False,1.0
fryum,4,0.936,0.9375538970890285,False,1.0
macaroni1,5,0.8809,0.9263216608022563,False,1.0
macaroni2,6,0.6960999999999999,0.8078301537118232,False,1.0
pcb1,7,0.9578,0.9843462649975283,False,1.0
pcb2,8,0.9156,0.9608930001109816,False,1.0
pcb3,9,0.8738613861386139,0.9483643476112227,False,1.0
pcb4,10,0.9699009900990099,0.9462543399724658,False,1.0
pipe_fryum,11,0.9573999999999999,0.9848557713230945,True,0.9866666666666667
Average,,0.906266309130913,0.940630282964483,,0.9988888888888888
Task_0_Average,0,0.8999,0.8918351345532186,,1.0
Task_1_Average,1,0.8753333333333334,0.9662087105659172,,1.0
Task_2_Average,2,0.9743999999999999,0.9807213670870308,,1.0
Task_3_Average,3,0.9380000000000001,0.9523787477492295,,1.0
Task_4_Average,4,0.936,0.9375538970890285,,1.0
Task_5_Average,5,0.8809,0.9263216608022563,,1.0
Task_6_Average,6,0.6960999999999999,0.8078301537118232,,1.0
Task_7_Average,7,0.9578,0.9843462649975283,,1.0
Task_8_Average,8,0.9156,0.9608930001109816,,1.0
Task_9_Average,9,0.8738613861386139,0.9483643476112227,,1.0
Task_10_Average,10,0.9699009900990099,0.9462543399724658,,1.0
Task_11_Average,11,0.9573999999999999,0.9848557713230945,,0.9866666666666667
