metric,value
experiment_name,VISA-ViT-lr1e-4-Coupling8-TailW0.7
strategy,MoLE-Flow
final_average_img_auc,0.902359295929593
final_average_pixel_auc,0.9360137156113822
final_average_img_ap,0.9114419936686281
final_average_pixel_ap,0.2388435006301993
total_classes,12
total_tasks,12
final_routing_accuracy,0.9986123959296948
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
candle_img_auc,0.9019
candle_pixel_auc,0.8876192685071368
candle_img_ap,0.9223520289580633
candle_pixel_ap,0.06028999352666278
capsules_img_auc,0.8703333333333333
capsules_pixel_auc,0.960936881919254
capsules_img_ap,0.928617106105162
capsules_pixel_ap,0.29625126489875603
cashew_img_auc,0.9763999999999999
cashew_pixel_auc,0.9812673042134935
cashew_img_ap,0.9872710794550906
cashew_pixel_ap,0.6987054910566768
chewinggum_img_auc,0.932
chewinggum_pixel_auc,0.939987980923067
chewinggum_img_ap,0.9698374444539386
chewinggum_pixel_ap,0.10752376957798268
fryum_img_auc,0.936
fryum_pixel_auc,0.9365086115689163
fryum_img_ap,0.9698040607567606
fryum_pixel_ap,0.30476390392482444
macaroni1_img_auc,0.8737999999999999
macaroni1_pixel_auc,0.9096221045430392
macaroni1_img_ap,0.8646799608113108
macaroni1_pixel_ap,0.026499743913973337
macaroni2_img_auc,0.6735
macaroni2_pixel_auc,0.8055926476914935
macaroni2_img_ap,0.6227653260926997
macaroni2_pixel_ap,0.006015238696179504
pcb1_img_auc,0.9541999999999999
pcb1_pixel_auc,0.9835288012936613
pcb1_img_ap,0.9443269804106227
pcb1_pixel_ap,0.5759192013084257
pcb2_img_auc,0.9121999999999999
pcb2_pixel_auc,0.9598843125432407
pcb2_img_ap,0.9119988041269094
pcb2_pixel_ap,0.10681047760320439
pcb3_img_auc,0.8744554455445545
pcb3_pixel_auc,0.9422779180854178
pcb3_img_ap,0.8823139518092855
pcb3_pixel_ap,0.17578549131338478
pcb4_img_auc,0.9677227722772277
pcb4_pixel_auc,0.9409351506115692
pcb4_img_ap,0.9550627369315504
pcb4_pixel_ap,0.18205124392216174
pipe_fryum_img_auc,0.9558
pipe_fryum_pixel_auc,0.9840036054362987
pipe_fryum_img_ap,0.978274444112144
pipe_fryum_pixel_ap,0.32550618782015944
---additional_metrics---,
overall_routing_accuracy,0.9986123959296948
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,0.9933333333333333
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,0.9866666666666667
oracle_mean_img_auc,0.902359295929593
oracle_mean_pixel_auc,0.9368525120371198
