Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8998,0.8898,0.9209,0.0661
1,capsules,100.00,0.8758,0.9647,0.9320,0.3092
2,cashew,100.00,0.9742,0.9803,0.9864,0.6785
3,chewinggum,99.33,0.9334,0.9438,0.9699,0.1221
4,fryum,100.00,0.9412,0.9369,0.9721,0.3049
5,macaroni1,100.00,0.8791,0.9188,0.8731,0.0301
6,macaroni2,100.00,0.6899,0.8177,0.6481,0.0076
7,pcb1,100.00,0.9544,0.9839,0.9460,0.5686
8,pcb2,100.00,0.9149,0.9587,0.9145,0.0955
9,pcb3,100.00,0.8759,0.9473,0.8848,0.1879
10,pcb4,100.00,0.9702,0.9452,0.9548,0.1729
11,pipe_fryum,98.67,0.9534,0.9833,0.9773,0.3066
Mean,Overall,99.83,0.9052*,0.9392*,0.9150*,0.2375*
