class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.9003000000000001,0.8786120986276896,False,1.0
capsules,1,0.8791666666666668,0.9559427083789614,False,1.0
cashew,2,0.9754,0.979769290641495,False,1.0
chewinggum,3,0.9238000000000001,0.9363915825602743,False,0.9933333333333333
fryum,4,0.9306,0.9361330836254214,False,1.0
macaroni1,5,0.8596999999999999,0.9035730007546786,False,1.0
macaroni2,6,0.6537,0.7999948970771041,False,1.0
pcb1,7,0.9483999999999999,0.9825932026081177,False,1.0
pcb2,8,0.9005000000000001,0.9553928726250868,False,1.0
pcb3,9,0.8437623762376237,0.9379679244925139,False,1.0
pcb4,10,0.9633663366336634,0.9306226974371479,False,1.0
pipe_fryum,11,0.9504,0.9847351675379201,True,0.9866666666666667
Average,,0.8940912816281629,0.9318107105305341,,0.9983333333333332
Task_0_Average,0,0.9003000000000001,0.8786120986276896,,1.0
Task_1_Average,1,0.8791666666666668,0.9559427083789614,,1.0
Task_2_Average,2,0.9754,0.979769290641495,,1.0
Task_3_Average,3,0.9238000000000001,0.9363915825602743,,0.9933333333333333
Task_4_Average,4,0.9306,0.9361330836254214,,1.0
Task_5_Average,5,0.8596999999999999,0.9035730007546786,,1.0
Task_6_Average,6,0.6537,0.7999948970771041,,1.0
Task_7_Average,7,0.9483999999999999,0.9825932026081177,,1.0
Task_8_Average,8,0.9005000000000001,0.9553928726250868,,1.0
Task_9_Average,9,0.8437623762376237,0.9379679244925139,,1.0
Task_10_Average,10,0.9633663366336634,0.9306226974371479,,1.0
Task_11_Average,11,0.9504,0.9847351675379201,,0.9866666666666667
