Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8241,0.9702,0.7758,0.1764
1,capsules,100.00,0.6980,0.9625,0.7913,0.1832
2,cashew,100.00,0.8052,0.9767,0.8953,0.3900
3,chewinggum,100.00,0.8280,0.9875,0.8808,0.4595
4,fryum,100.00,0.9558,0.9173,0.9790,0.4278
5,macaroni1,100.00,0.7421,0.9825,0.6860,0.0595
6,macaroni2,100.00,0.6883,0.9127,0.6772,0.0068
7,pcb1,100.00,0.8395,0.9877,0.7834,0.4011
8,pcb2,100.00,0.7541,0.9561,0.7466,0.0896
9,pcb3,100.00,0.7703,0.9819,0.7765,0.2402
10,pcb4,100.00,0.9468,0.9694,0.8928,0.2290
11,pipe_fryum,100.00,0.9214,0.9845,0.9516,0.4991
Mean,Overall,100.00,0.8145*,0.9657*,0.8197*,0.2635*
