metric,value
experiment_name,VISA-WRN50-LoRA128-DIA6-Combined
strategy,MoLE-Flow
final_average_img_auc,0.856558195819582
final_average_pixel_auc,0.9687423554390376
final_average_img_ap,0.8733898995762018
final_average_pixel_ap,0.27612346820871053
total_classes,12
total_tasks,12
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
candle_img_auc,0.8619000000000001
candle_pixel_auc,0.9858411787735567
candle_img_ap,0.8514970923426838
candle_pixel_ap,0.1621880294987038
capsules_img_auc,0.7076666666666668
capsules_pixel_auc,0.9380134770460892
capsules_img_ap,0.8123260687716158
capsules_pixel_ap,0.21560086281660795
cashew_img_auc,0.8685999999999999
cashew_pixel_auc,0.9758692993713272
cashew_img_ap,0.9359327352686333
cashew_pixel_ap,0.44051406880805594
chewinggum_img_auc,0.9573999999999999
chewinggum_pixel_auc,0.9868065593528415
chewinggum_img_ap,0.981210256846168
chewinggum_pixel_ap,0.31533660519050094
fryum_img_auc,0.9598
fryum_pixel_auc,0.9479252270401716
fryum_img_ap,0.9812812382639314
fryum_pixel_ap,0.4316223838619547
macaroni1_img_auc,0.7866000000000001
macaroni1_pixel_auc,0.9656153426854932
macaroni1_img_ap,0.793270319358485
macaroni1_pixel_ap,0.05967593467100127
macaroni2_img_auc,0.7078000000000001
macaroni2_pixel_auc,0.9552157529408157
macaroni2_img_ap,0.6795182855315562
macaroni2_pixel_ap,0.00907187263892754
pcb1_img_auc,0.8693
pcb1_pixel_auc,0.9880267668359257
pcb1_img_ap,0.8569273367580954
pcb1_pixel_ap,0.5550652669510892
pcb2_img_auc,0.8066
pcb2_pixel_auc,0.9444640573656604
pcb2_img_ap,0.8273793168907027
pcb2_pixel_ap,0.09156385932666836
pcb3_img_auc,0.8187128712871288
pcb3_pixel_auc,0.978953121570416
pcb3_img_ap,0.8327672071623604
pcb3_pixel_ap,0.26948801090795554
pcb4_img_auc,0.9681188118811881
pcb4_pixel_auc,0.9721793562501484
pcb4_img_ap,0.945888198257164
pcb4_pixel_ap,0.2511736149400566
pipe_fryum_img_auc,0.9662
pipe_fryum_pixel_auc,0.9859981260360068
pipe_fryum_img_ap,0.982680739463026
pipe_fryum_pixel_ap,0.5121811088930047
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
oracle_mean_img_auc,0.856558195819582
oracle_mean_pixel_auc,0.9687423554390376
