metric,value
experiment_name,woLoRA
strategy,MoLE-Flow
final_average_img_auc,0.9796209881629843
final_average_pixel_auc,0.977743685862702
final_average_img_ap,0.9923564073992448
final_average_pixel_ap,0.5530890657353505
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,False
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,False
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9837895043011652
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.742567828218278
cable_img_auc,0.9818215892053973
cable_pixel_auc,0.9707811180006433
cable_img_ap,0.9906672313345084
cable_pixel_ap,0.5906576509142768
capsule_img_auc,0.9469485440765856
capsule_pixel_auc,0.9859744545586395
capsule_img_ap,0.9873443827580505
capsule_pixel_ap,0.4049331638675257
carpet_img_auc,0.9975922953451044
carpet_pixel_auc,0.990451337603989
carpet_img_ap,0.9992631940604585
carpet_pixel_ap,0.6425611598092293
grid_img_auc,0.9924812030075187
grid_pixel_auc,0.9763942455861736
grid_img_ap,0.9973252598393356
grid_pixel_ap,0.26441622179964186
hazelnut_img_auc,0.9992857142857142
hazelnut_pixel_auc,0.9867497959291699
hazelnut_img_ap,0.9996031746031744
hazelnut_pixel_ap,0.5839720650474367
leather_img_auc,1.0
leather_pixel_auc,0.9940666543581933
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.4717395651987232
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9710009041894334
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.780868117357215
pill_img_auc,0.986088379705401
pill_pixel_auc,0.9895693024841545
pill_img_ap,0.9976161993445899
pill_pixel_ap,0.8009078128580501
screw_img_auc,0.9151465464234474
screw_pixel_auc,0.9766264226026244
screw_img_ap,0.9679314403630269
screw_pixel_ap,0.21742882863983348
tile_img_auc,1.0
tile_pixel_auc,0.9701985400573856
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.7040026650370356
toothbrush_img_auc,0.9222222222222223
toothbrush_pixel_auc,0.983306827337684
toothbrush_img_ap,0.9685924520778525
toothbrush_pixel_ap,0.5646443650377977
transistor_img_auc,0.9937499999999999
transistor_pixel_auc,0.9685944208608219
transistor_img_ap,0.9904782346356615
transistor_pixel_ap,0.6581162070245802
wood_img_auc,0.9736842105263158
wood_pixel_auc,0.9445392788851456
wood_img_ap,0.990598968970836
wood_pixel_ap,0.5007942963120263
zipper_img_auc,0.9852941176470589
zipper_pixel_auc,0.9741124811853092
zipper_img_ap,0.9959255730011799
zipper_pixel_ap,0.3687260389086088
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9796209881629843
oracle_mean_pixel_auc,0.977743685862702
