class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.977182596886614,False,1.0
cable,1,0.9788230884557722,0.9722649812040439,False,1.0
capsule,2,0.9581172716394096,0.9866148286547802,False,1.0
carpet,3,0.9931781701444622,0.9851974983609814,False,1.0
grid,4,0.9991645781119465,0.9773324828866626,False,1.0
hazelnut,5,0.9989285714285714,0.9867152267991868,False,1.0
leather,6,1.0,0.98770532852206,False,1.0
metal_nut,7,1.0,0.9812003105680143,False,1.0
pill,8,0.9869067103109657,0.989475949544647,False,1.0
screw,9,0.9200655872104939,0.9821725845376916,False,1.0
tile,10,1.0,0.9658463612619569,False,1.0
toothbrush,11,0.9083333333333333,0.9833340502832328,False,1.0
transistor,12,0.9974999999999999,0.9702252549184253,False,1.0
wood,13,0.9771929824561403,0.9341354489155164,False,1.0
zipper,14,0.9908088235294118,0.9756366402374527,True,1.0
Average,,0.9806012744413671,0.9770026362387509,,1.0
Task_0_Average,0,1.0,0.977182596886614,,1.0
Task_1_Average,1,0.9788230884557722,0.9722649812040439,,1.0
Task_2_Average,2,0.9581172716394096,0.9866148286547802,,1.0
Task_3_Average,3,0.9931781701444622,0.9851974983609814,,1.0
Task_4_Average,4,0.9991645781119465,0.9773324828866626,,1.0
Task_5_Average,5,0.9989285714285714,0.9867152267991868,,1.0
Task_6_Average,6,1.0,0.98770532852206,,1.0
Task_7_Average,7,1.0,0.9812003105680143,,1.0
Task_8_Average,8,0.9869067103109657,0.989475949544647,,1.0
Task_9_Average,9,0.9200655872104939,0.9821725845376916,,1.0
Task_10_Average,10,1.0,0.9658463612619569,,1.0
Task_11_Average,11,0.9083333333333333,0.9833340502832328,,1.0
Task_12_Average,12,0.9974999999999999,0.9702252549184253,,1.0
Task_13_Average,13,0.9771929824561403,0.9341354489155164,,1.0
Task_14_Average,14,0.9908088235294118,0.9756366402374527,,1.0
