class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9844271269936223,False,1.0
cable,1,0.9838830584707645,0.9660514670383811,False,1.0
capsule,2,0.9513362584762665,0.9862917403454942,False,1.0
carpet,3,0.9911717495987159,0.9888259571863462,False,1.0
grid,4,0.9665831244778613,0.974536260218783,False,1.0
hazelnut,5,0.9978571428571429,0.9877980815133719,False,1.0
leather,6,1.0,0.9929472244955458,False,1.0
metal_nut,7,1.0,0.970712003998642,False,1.0
pill,8,0.9869067103109657,0.989062744779786,False,1.0
screw,9,0.89198606271777,0.9766980336168058,False,1.0
tile,10,1.0,0.970481434891734,False,1.0
toothbrush,11,0.888888888888889,0.9843311086915862,False,1.0
transistor,12,0.9841666666666667,0.9273570493071684,False,1.0
wood,13,0.9736842105263158,0.9465060826419991,True,1.0
Average,,0.9726045623565255,0.974716165408519,,1.0
Task_0_Average,0,1.0,0.9844271269936223,,1.0
Task_1_Average,1,0.9838830584707645,0.9660514670383811,,1.0
Task_2_Average,2,0.9513362584762665,0.9862917403454942,,1.0
Task_3_Average,3,0.9911717495987159,0.9888259571863462,,1.0
Task_4_Average,4,0.9665831244778613,0.974536260218783,,1.0
Task_5_Average,5,0.9978571428571429,0.9877980815133719,,1.0
Task_6_Average,6,1.0,0.9929472244955458,,1.0
Task_7_Average,7,1.0,0.970712003998642,,1.0
Task_8_Average,8,0.9869067103109657,0.989062744779786,,1.0
Task_9_Average,9,0.89198606271777,0.9766980336168058,,1.0
Task_10_Average,10,1.0,0.970481434891734,,1.0
Task_11_Average,11,0.888888888888889,0.9843311086915862,,1.0
Task_12_Average,12,0.9841666666666667,0.9273570493071684,,1.0
Task_13_Average,13,0.9736842105263158,0.9465060826419991,,1.0
