Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9829,1.0000,0.7338
1,cable,100.00,0.9807,0.9694,0.9898,0.6041
2,capsule,100.00,0.9705,0.9874,0.9933,0.4009
3,carpet,100.00,0.9924,0.9895,0.9977,0.5983
4,grid,100.00,0.9741,0.9750,0.9911,0.2735
5,hazelnut,100.00,0.9993,0.9872,0.9996,0.5889
6,leather,100.00,1.0000,0.9921,1.0000,0.4007
7,metal_nut,100.00,1.0000,0.9654,1.0000,0.7582
8,pill,100.00,0.9894,0.9883,0.9982,0.7751
9,screw,100.00,0.9213,0.9838,0.9695,0.2503
10,tile,100.00,1.0000,0.9639,1.0000,0.6047
11,toothbrush,100.00,0.9056,0.9854,0.9604,0.4917
12,transistor,100.00,0.9954,0.9416,0.9942,0.6056
13,wood,100.00,0.9789,0.9428,0.9931,0.4814
14,zipper,100.00,0.9890,0.9755,0.9969,0.3716
Mean,Overall,100.00,0.9798*,0.9754*,0.9923*,0.5293*
