experiment_name,image_auc,pixel_auc,pixel_ap,routing_acc,backbone,num_epochs,lr,lora_rank,num_coupling_layers,dia_n_blocks,tail_weight,lambda_logdet,num_tasks
DIA-Only-DIA10,0.9817,0.9773,0.9922,100.00,wide_resnet50_2,60,0.0003,64,0,N/A,N/A,N/A,15
DIA-Only-DIA4,0.9813,0.9786,0.9926,100.00,wide_resnet50_2,60,0.0003,64,0,N/A,N/A,N/A,15
DIA-Only-DIA6,0.9815,0.9781,0.9922,100.00,wide_resnet50_2,60,0.0003,64,0,N/A,N/A,N/A,15
DIA-Only-DIA8,0.9819,0.9778,0.9923,100.00,wide_resnet50_2,60,0.0003,64,0,N/A,N/A,N/A,15
MVTec-WRN50-Coupling12,0.9802,0.9736,0.9921,100.00,wide_resnet50_2,60,0.0002,64,12,N/A,N/A,N/A,15
MVTec-WRN50-Coupling16,0.7341,0.5414,0.8799,100.00,wide_resnet50_2,60,0.0002,64,16,N/A,N/A,N/A,15
MVTec-WRN50-DIA2,0.9726,0.9737,0.9899,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-DIA2-LoRA128,0.9729,0.9737,0.9901,100.00,wide_resnet50_2,60,0.0002,128,8,N/A,N/A,N/A,15
MVTec-WRN50-DIA4-TopK10,0.9802,0.9736,0.9926,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-DIA6,0.9820,0.9736,0.9936,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-DIA6-ScaleCtxK5,0.9797,0.9745,0.9926,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-DIA6-lr3e-4,0.9821,0.9736,0.9934,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MVTec-WRN50-DIA7,0.9830,0.9737,0.9940,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-DIA8,0.9825,0.9732,0.9936,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-DIA8-ScaleCtxK5,0.9809,0.9744,0.9931,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-DIA8-lr3e-4,0.9821,0.9733,0.9933,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MVTec-WRN50-FullBest-80ep-lr3e-4-LoRA128-C10-DIA5-TailW0.55-TailTopK3-ScaleCtxK5,0.9836,0.9780,0.9926,100.00,wide_resnet50_2,80,0.0003,128,10,N/A,N/A,N/A,15
MVTec-WRN50-LoRA128,0.9794,0.9736,0.9917,100.00,wide_resnet50_2,60,0.0002,128,8,N/A,N/A,N/A,15
