task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,656993.40625,0.0001998643239407028,,,,,,
0,1.0,BASE,369831.26442307694,0.00019945766764145904,,,,,,
0,2.0,BASE,181545.71514423078,0.00019878114571891863,,,,,,
0,3.0,BASE,26322.10723407452,0.00019783661247264674,,,,,,
0,4.0,BASE,-72657.11899038461,0.00019662665680261773,,,,,,
0,5.0,BASE,-132617.09795673078,0.0001951545951132202,,,,,,
0,6.0,BASE,-171363.44471153847,0.00019342446222322295,,,,,,
0,7.0,BASE,-207920.5673076923,0.00019144100030661746,,,,,,
0,8.0,BASE,-241280.14903846153,0.0001892096458946484,,,,,,
0,9.0,BASE,-271589.8641826923,0.00018673651497465941,,,,,,
0,10.0,BASE,-301517.60576923075,0.00018402838622659694,,,,,,
0,11.0,BASE,-323378.66346153844,0.00018109268244311975,,,,,,
0,12.0,BASE,-341667.5216346154,0.0001779374501842401,,,,,,
0,13.0,BASE,-361058.98798076925,0.000174571337722262,,,,,,
0,14.0,BASE,-379374.9158653846,0.00017100357133746817,,,,,,
0,15.0,BASE,-399176.38942307694,0.00016724393002952694,,,,,,
0,16.0,BASE,-417270.48798076925,0.0001633027187139339,,,,,,
0,17.0,BASE,-432190.08173076925,0.00015919073997695482,,,,,,
0,18.0,BASE,-449120.4014423077,0.00015491926446648766,,,,,,
0,19.0,BASE,-464046.2716346154,0.00015049999999999997,,,,,,
0,20.0,BASE,-476376.9350961539,0.0001459450594742151,,,,,,
0,21.0,BASE,-489261.01923076925,0.0001412669276645042,,,,,,
0,22.0,BASE,-498911.4663461539,0.00013647842700498472,,,,,,
0,23.0,BASE,-505130.2548076923,0.00013159268244311977,,,,,,
0,24.0,BASE,-514286.35817307694,0.00012662308546514952,,,,,,
0,25.0,BASE,-524666.7860576923,0.00012158325739095812,,,,,,
0,26.0,BASE,-530424.6201923077,0.00011648701203898282,,,,,,
0,27.0,BASE,-538849.5625,0.00011134831786349765,,,,,,
0,28.0,BASE,-544170.0769230769,0.00010618125966805139,,,,,,
0,29.0,BASE,-552635.25,0.00010099999999999999,,,,,,
0,30.0,BASE,-559375.4182692308,9.581874033194855e-05,,,,,,
0,31.0,BASE,-566226.3413461539,9.06516821365023e-05,,,,,,
0,32.0,BASE,-574157.625,8.551298796101712e-05,,,,,,
0,33.0,BASE,-580130.9951923077,8.04167426090418e-05,,,,,,
0,34.0,BASE,-587177.6057692308,7.537691453485044e-05,,,,,,
0,35.0,BASE,-592660.4567307692,7.04073175568802e-05,,,,,,
0,36.0,BASE,-598377.1201923077,6.552157299501526e-05,,,,,,
0,37.0,BASE,-603850.0721153846,6.0733072335495784e-05,,,,,,
0,38.0,BASE,-609498.8317307692,5.605494052578486e-05,,,,,,
0,39.0,BASE,-613708.3942307692,5.150000000000001e-05,,,,,,
0,40.0,BASE,-618640.3509615385,4.708073553351234e-05,,,,,,
0,41.0,BASE,-622682.9951923077,4.2809260023045165e-05,,,,,,
0,42.0,BASE,-626284.8413461539,3.869728128606611e-05,,,,,,
0,43.0,BASE,-630112.0865384615,3.475606997047307e-05,,,,,,
0,44.0,BASE,-633755.1490384615,3.09964286625318e-05,,,,,,
0,45.0,BASE,-636681.7596153846,2.742866227773799e-05,,,,,,
