metric,value
experiment_name,Ablation-MVTec-wo_WhiteningAdapter
strategy,MoLE-Flow
final_average_img_auc,0.9603849457323254
final_average_pixel_auc,0.970326435333304
final_average_img_ap,0.9859856879115515
final_average_pixel_ap,0.446114429408342
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9588291471851399
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.40602463095815206
cable_img_auc,0.9846326836581708
cable_pixel_auc,0.9721113056246256
cable_img_ap,0.9914882306639554
cable_pixel_ap,0.6524523278781834
capsule_img_auc,0.8671719186278422
capsule_pixel_auc,0.9834958967007263
capsule_img_ap,0.9696567891209918
capsule_pixel_ap,0.3114695978622522
carpet_img_auc,0.9875601926163723
carpet_pixel_auc,0.9800591956016849
carpet_img_ap,0.9964626712011918
carpet_pixel_ap,0.38078396225187794
grid_img_auc,0.9824561403508772
grid_pixel_auc,0.9746844276523278
grid_img_ap,0.9945913296543396
grid_pixel_ap,0.1945509581249086
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.9834856120679348
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.4746484198937999
leather_img_auc,1.0
leather_pixel_auc,0.9806178702835928
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.2179846367579229
metal_nut_img_auc,0.9995112414467253
metal_nut_pixel_auc,0.9822790988163275
metal_nut_img_ap,0.9998856097002974
metal_nut_pixel_ap,0.8470882982725855
pill_img_auc,0.9716312056737588
pill_pixel_auc,0.9874498952992978
pill_img_ap,0.9950483045279497
pill_pixel_ap,0.8087124729317009
screw_img_auc,0.7530231604837057
screw_pixel_auc,0.9701545351906664
screw_img_ap,0.9018376363003348
screw_pixel_ap,0.14927266653628915
tile_img_auc,1.0
tile_pixel_auc,0.9555183726555461
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6602824222247702
toothbrush_img_auc,0.8805555555555555
toothbrush_pixel_auc,0.9782352044002807
toothbrush_img_ap,0.9467441374443548
toothbrush_pixel_ap,0.3557627568565862
transistor_img_auc,1.0
transistor_pixel_auc,0.959021153425941
transistor_img_ap,1.0
transistor_pixel_ap,0.6331293592697345
wood_img_auc,0.9894736842105264
wood_pixel_auc,0.9148584994506097
wood_img_ap,0.9967761875668323
wood_pixel_ap,0.2901256618071648
zipper_img_auc,0.9897584033613446
zipper_pixel_auc,0.9740963156448611
zipper_img_ap,0.9972944224930241
zipper_pixel_ap,0.30942826949920105
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9603849457323254
oracle_mean_pixel_auc,0.970326435333304
