class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9614405586258851,False,1.0
cable,1,0.9782608695652174,0.9688490859079991,False,1.0
capsule,2,0.8077383326685282,0.983096643287492,False,1.0
carpet,3,0.9911717495987158,0.9798650518262145,False,1.0
grid,4,0.9757727652464494,0.9717382557254254,True,1.0
Average,,0.9505887434157823,0.9729979190746032,,1.0
Task_0_Average,0,1.0,0.9614405586258851,,1.0
Task_1_Average,1,0.9782608695652174,0.9688490859079991,,1.0
Task_2_Average,2,0.8077383326685282,0.983096643287492,,1.0
Task_3_Average,3,0.9911717495987158,0.9798650518262145,,1.0
Task_4_Average,4,0.9757727652464494,0.9717382557254254,,1.0
