metric,value
experiment_name,Ablation-MVTec-wo_DIA
strategy,MoLE-Flow
final_average_img_auc,0.9479237852934749
final_average_pixel_auc,0.9701958686118227
final_average_img_ap,0.9801955572780542
final_average_pixel_ap,0.45855108553156054
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9614405586258851
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.4334340236088779
cable_img_auc,0.9782608695652174
cable_pixel_auc,0.9688490859079991
cable_img_ap,0.988166045387839
cable_pixel_ap,0.6524798742389323
capsule_img_auc,0.8077383326685282
capsule_pixel_auc,0.983096643287492
capsule_img_ap,0.9528842815783127
capsule_pixel_ap,0.32019446762986326
carpet_img_auc,0.9911717495987158
carpet_pixel_auc,0.9798650518262145
carpet_img_ap,0.9974948424415013
carpet_pixel_ap,0.3402898625188526
grid_img_auc,0.9757727652464494
grid_pixel_auc,0.9717382557254254
grid_img_ap,0.9922013712914195
grid_pixel_ap,0.20874588070465014
hazelnut_img_auc,0.9996428571428572
hazelnut_pixel_auc,0.9846149890028084
hazelnut_img_ap,0.999798792756539
hazelnut_pixel_ap,0.47437416030349805
leather_img_auc,1.0
leather_pixel_auc,0.9842967295027114
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.23418980835068973
metal_nut_img_auc,0.998533724340176
metal_nut_pixel_auc,0.9815693363795437
metal_nut_img_ap,0.9996639784946235
metal_nut_pixel_ap,0.8435366112199413
pill_img_auc,0.9626295690125477
pill_pixel_auc,0.9875506876560751
pill_img_ap,0.9934193042463836
pill_pixel_ap,0.8276452299150024
screw_img_auc,0.666120106579217
screw_pixel_auc,0.9623380155928183
screw_img_ap,0.8495098022587046
screw_pixel_ap,0.13049214420859806
tile_img_auc,1.0
tile_pixel_auc,0.9583614238724019
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6770188331789084
toothbrush_img_auc,0.8833333333333333
toothbrush_pixel_auc,0.9836775122495772
toothbrush_img_ap,0.9462098346154737
toothbrush_pixel_ap,0.4784099975482306
transistor_img_auc,0.9970833333333333
transistor_pixel_auc,0.9522085133323468
transistor_img_ap,0.9956821168775598
transistor_pixel_ap,0.619216236532844
wood_img_auc,0.9877192982456141
wood_pixel_auc,0.9254596398337913
wood_img_ap,0.9962603215459424
wood_pixel_ap,0.36141423312136634
zipper_img_auc,0.9708508403361344
zipper_pixel_auc,0.9678715863822501
zipper_img_ap,0.9916426676765125
zipper_pixel_ap,0.2768249198931536
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9479237852934749
oracle_mean_pixel_auc,0.9701958686118227
