class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9640636880549437,False,1.0
cable,1,0.9887556221889056,0.9667793755711415,False,1.0
capsule,2,0.9509373753490227,0.985905384187992,False,1.0
carpet,3,0.989967897271268,0.9805523511520571,False,1.0
grid,4,0.987468671679198,0.9762530330087772,False,1.0
hazelnut,5,1.0,0.9837251404866015,False,1.0
leather,6,1.0,0.9812171405681677,False,1.0
metal_nut,7,1.0,0.9853719853533592,True,1.0
Average,,0.9896411958110494,0.9779835122978799,,1.0
Task_0_Average,0,1.0,0.9640636880549437,,1.0
Task_1_Average,1,0.9887556221889056,0.9667793755711415,,1.0
Task_2_Average,2,0.9509373753490227,0.985905384187992,,1.0
Task_3_Average,3,0.989967897271268,0.9805523511520571,,1.0
Task_4_Average,4,0.987468671679198,0.9762530330087772,,1.0
Task_5_Average,5,1.0,0.9837251404866015,,1.0
Task_6_Average,6,1.0,0.9812171405681677,,1.0
Task_7_Average,7,1.0,0.9853719853533592,,1.0
