Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9641,1.0000,0.4554
1,cable,100.00,0.9888,0.9668,0.9936,0.6402
2,capsule,100.00,0.9509,0.9859,0.9885,0.3652
3,carpet,100.00,0.9900,0.9806,0.9972,0.4071
4,grid,100.00,0.9875,0.9763,0.9961,0.2370
5,hazelnut,100.00,1.0000,0.9837,1.0000,0.4910
6,leather,100.00,1.0000,0.9812,1.0000,0.2264
7,metal_nut,100.00,1.0000,0.9854,1.0000,0.8839
8,pill,100.00,0.9831,0.9879,0.9971,0.7949
9,screw,100.00,0.8817,0.9801,0.9516,0.1876
10,tile,100.00,1.0000,0.9588,1.0000,0.6338
11,toothbrush,100.00,0.9000,0.9801,0.9557,0.3350
12,transistor,100.00,0.9962,0.9152,0.9951,0.5630
13,wood,100.00,0.9860,0.9236,0.9956,0.3217
14,zipper,100.00,0.9861,0.9730,0.9964,0.3043
Mean,Overall,100.00,0.9767*,0.9695*,0.9911*,0.4564*
