class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9642427840405335,False,-1.0
cable,1,0.9921289355322338,0.9753101633768669,False,-1.0
capsule,2,0.9497407259672916,0.9851912196410527,False,-1.0
carpet,3,0.9859550561797753,0.9791665236664421,False,-1.0
grid,4,0.985797827903091,0.9755393404375973,False,-1.0
hazelnut,5,1.0,0.9849335217476172,True,-1.0
Average,,0.9856037575970653,0.9773972588183516,,-1.0
Task_0_Average,0,1.0,0.9642427840405335,,-1.0
Task_1_Average,1,0.9921289355322338,0.9753101633768669,,-1.0
Task_2_Average,2,0.9497407259672916,0.9851912196410527,,-1.0
Task_3_Average,3,0.9859550561797753,0.9791665236664421,,-1.0
Task_4_Average,4,0.985797827903091,0.9755393404375973,,-1.0
Task_5_Average,5,1.0,0.9849335217476172,,-1.0
