timestamp,current_task_id,epoch,bottle_img_auc,bottle_pixel_auc,bottle_routing_acc,cable_img_auc,cable_pixel_auc,cable_routing_acc,capsule_img_auc,capsule_pixel_auc,capsule_routing_acc,carpet_img_auc,carpet_pixel_auc,carpet_routing_acc,grid_img_auc,grid_pixel_auc,grid_routing_acc,hazelnut_img_auc,hazelnut_pixel_auc,hazelnut_routing_acc,leather_img_auc,leather_pixel_auc,leather_routing_acc,metal_nut_img_auc,metal_nut_pixel_auc,metal_nut_routing_acc,pill_img_auc,pill_pixel_auc,pill_routing_acc,screw_img_auc,screw_pixel_auc,screw_routing_acc,tile_img_auc,tile_pixel_auc,tile_routing_acc,toothbrush_img_auc,toothbrush_pixel_auc,toothbrush_routing_acc,transistor_img_auc,transistor_pixel_auc,transistor_routing_acc,wood_img_auc,wood_pixel_auc,wood_routing_acc,zipper_img_auc,zipper_pixel_auc,zipper_routing_acc,mean_img_auc,mean_pixel_auc,mean_routing_acc
2026-01-01 16:49:47,0,59,1.0,0.9701008893853758,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,1.0,0.9701008893853758,1.0
2026-01-01 16:54:44,1,59,1.0,0.9701008893853758,1.0,0.9891304347826086,0.9719275158015939,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9945652173913043,0.9710142025934848,1.0
2026-01-01 16:59:30,2,59,1.0,0.9701008893853758,1.0,0.9891304347826086,0.9719275158015939,1.0,0.947746310331073,0.9868659205382536,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9789589150378939,0.9762981085750745,1.0
2026-01-01 17:05:41,3,59,1.0,0.9701008893853758,1.0,0.9891304347826086,0.9719275158015939,1.0,0.947746310331073,0.9868659205382536,1.0,0.987158908507223,0.9820158245419192,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9810089134052262,0.9777275375667857,1.0
2026-01-01 17:11:33,4,59,1.0,0.9701008893853758,1.0,0.9891304347826086,0.9719275158015939,1.0,0.947746310331073,0.9868659205382536,1.0,0.987158908507223,0.9820158245419192,1.0,0.9791144527986633,0.9755195898807415,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9806300212839136,0.9772859480295768,1.0
2026-01-01 17:20:09,5,59,1.0,0.9701008893853758,1.0,0.9891304347826086,0.9719275158015939,1.0,0.947746310331073,0.9868659205382536,1.0,0.987158908507223,0.9820158245419192,1.0,0.9791144527986633,0.9755195898807415,1.0,1.0,0.9850545124432829,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.983858351069928,0.9785807087651945,1.0
2026-01-01 17:26:09,6,59,1.0,0.9701008893853758,1.0,0.9891304347826086,0.9719275158015939,1.0,0.947746310331073,0.9868659205382536,1.0,0.987158908507223,0.9820158245419192,1.0,0.9791144527986633,0.9755195898807415,1.0,1.0,0.9850545124432829,1.0,1.0,0.982142656775361,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9861643009170812,0.9790895584809326,1.0
2026-01-01 17:31:37,7,59,1.0,0.9701008893853758,1.0,0.9891304347826086,0.9719275158015939,1.0,0.947746310331073,0.9868659205382536,1.0,0.987158908507223,0.9820158245419192,1.0,0.9791144527986633,0.9755195898807415,1.0,1.0,0.9850545124432829,1.0,1.0,0.982142656775361,1.0,0.9995112414467253,0.9808209375953038,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9878326684832867,0.9793059808702289,1.0
2026-01-01 17:38:33,8,59,1.0,0.9701008893853758,1.0,0.9891304347826086,0.9719275158015939,1.0,0.947746310331073,0.9868659205382536,1.0,0.987158908507223,0.9820158245419192,1.0,0.9791144527986633,0.9755195898807415,1.0,1.0,0.9850545124432829,1.0,1.0,0.982142656775361,1.0,0.9995112414467253,0.9808209375953038,1.0,0.9841789416257501,0.9876963029404638,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9874266988324494,0.9802382388780327,1.0
2026-01-01 17:46:57,9,59,1.0,0.9701008893853758,1.0,0.9891304347826086,0.9719275158015939,1.0,0.947746310331073,0.9868659205382536,1.0,0.987158908507223,0.9820158245419192,1.0,0.9791144527986633,0.9755195898807415,1.0,1.0,0.9850545124432829,1.0,1.0,0.982142656775361,1.0,0.9995112414467253,0.9808209375953038,1.0,0.9841789416257501,0.9876963029404638,1.0,0.893625742980119,0.98519531861818,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9780466032472163,0.9807339468520475,1.0
