class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9847374964453836,False,1.0
cable,1,0.9857571214392803,0.9736193736397273,False,1.0
capsule,2,0.947746310331073,0.9857270728052357,False,1.0
carpet,3,0.9951845906902086,0.9898851961210143,False,1.0
grid,4,0.9899749373433584,0.9756488575050575,False,1.0
hazelnut,5,0.9989285714285714,0.9865225240856934,False,1.0
leather,6,1.0,0.9922077582828173,False,1.0
metal_nut,7,1.0,0.9714438267608955,False,1.0
pill,8,0.9871794871794871,0.9892294788116895,False,1.0
screw,9,0.9098175855708137,0.9753906121719861,False,1.0
tile,10,1.0,0.9684385192162837,False,1.0
toothbrush,11,0.9166666666666667,0.9850866138243359,False,1.0
transistor,12,0.9925,0.9683459877503657,False,1.0
wood,13,0.974561403508772,0.9405164434160844,False,1.0
zipper,14,0.9873949579831933,0.9746717401525214,True,1.0
Average,,0.9790474421427616,0.9774314333992729,,1.0
Task_0_Average,0,1.0,0.9847374964453836,,1.0
Task_1_Average,1,0.9857571214392803,0.9736193736397273,,1.0
Task_2_Average,2,0.947746310331073,0.9857270728052357,,1.0
Task_3_Average,3,0.9951845906902086,0.9898851961210143,,1.0
Task_4_Average,4,0.9899749373433584,0.9756488575050575,,1.0
Task_5_Average,5,0.9989285714285714,0.9865225240856934,,1.0
Task_6_Average,6,1.0,0.9922077582828173,,1.0
Task_7_Average,7,1.0,0.9714438267608955,,1.0
Task_8_Average,8,0.9871794871794871,0.9892294788116895,,1.0
Task_9_Average,9,0.9098175855708137,0.9753906121719861,,1.0
Task_10_Average,10,1.0,0.9684385192162837,,1.0
Task_11_Average,11,0.9166666666666667,0.9850866138243359,,1.0
Task_12_Average,12,0.9925,0.9683459877503657,,1.0
Task_13_Average,13,0.974561403508772,0.9405164434160844,,1.0
Task_14_Average,14,0.9873949579831933,0.9746717401525214,,1.0
