class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.561111111111111,0.5607370942961757,False,1.0
cable,1,0.4460269865067466,0.7084664362797252,False,1.0
capsule,2,0.3793378540087754,0.8084906451645251,False,1.0
carpet,3,0.6496789727126805,0.4601261086965008,False,1.0
grid,4,0.3508771929824561,0.7861588170756322,True,1.0
Average,,0.4774064234643539,0.6647958203025117,,1.0
Task_0_Average,0,0.561111111111111,0.5607370942961757,,1.0
Task_1_Average,1,0.4460269865067466,0.7084664362797252,,1.0
Task_2_Average,2,0.3793378540087754,0.8084906451645251,,1.0
Task_3_Average,3,0.6496789727126805,0.4601261086965008,,1.0
Task_4_Average,4,0.3508771929824561,0.7861588170756322,,1.0
