Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,0.4571,0.4449,0.7319,0.0473
1,cable,100.00,0.4769,0.3063,0.5876,0.0186
2,capsule,100.00,0.4101,0.1657,0.7735,0.0051
3,carpet,100.00,0.9185,0.8978,0.9753,0.3515
4,grid,100.00,0.5029,0.2200,0.7527,0.0040
5,hazelnut,100.00,0.3657,0.6617,0.5495,0.0351
6,leather,100.00,0.6352,0.8223,0.8644,0.1669
7,metal_nut,100.00,0.3930,0.6027,0.7893,0.1477
8,pill,100.00,0.5758,0.4661,0.8745,0.0282
9,screw,100.00,0.5500,0.6432,0.7682,0.0037
10,tile,100.00,0.7504,0.6683,0.8952,0.1738
11,toothbrush,100.00,0.4917,0.6109,0.7550,0.0230
12,transistor,100.00,0.5825,0.5474,0.4757,0.0614
13,wood,100.00,0.8246,0.4904,0.9206,0.0363
14,zipper,100.00,0.6857,0.8239,0.8937,0.0823
Mean,Overall,100.00,0.5747*,0.5581*,0.7738*,0.0790*
