class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9737759809161473,False,1.0
cable,1,0.9889430284857571,0.9771948103679426,False,1.0
capsule,2,0.9740725967291584,0.9853340757842057,False,1.0
carpet,3,0.9863563402889245,0.9850574906193915,False,1.0
grid,4,1.0,0.9781764113645356,False,1.0
hazelnut,5,0.9992857142857142,0.9863867336077407,True,1.0
Average,,0.9914429466315924,0.9809875837766605,,1.0
Task_0_Average,0,1.0,0.9737759809161473,,1.0
Task_1_Average,1,0.9889430284857571,0.9771948103679426,,1.0
Task_2_Average,2,0.9740725967291584,0.9853340757842057,,1.0
Task_3_Average,3,0.9863563402889245,0.9850574906193915,,1.0
Task_4_Average,4,1.0,0.9781764113645356,,1.0
Task_5_Average,5,0.9992857142857142,0.9863867336077407,,1.0
