metric,value
experiment_name,MVTec-Ablation-wo_LogDetReg
strategy,MoLE-Flow
final_average_img_auc,0.9829007430520796
final_average_pixel_auc,0.9766451019172867
final_average_img_ap,0.993104509836643
final_average_pixel_ap,0.510619987622731
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9737759809161473
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.559141837293242
cable_img_auc,0.9889430284857571
cable_pixel_auc,0.9771948103679426
cable_img_ap,0.9948287220026353
cable_pixel_ap,0.6584208567773008
capsule_img_auc,0.9740725967291584
capsule_pixel_auc,0.9853340757842057
capsule_img_ap,0.994481310690003
capsule_pixel_ap,0.36366179619040934
carpet_img_auc,0.9863563402889245
carpet_pixel_auc,0.9850574906193915
carpet_img_ap,0.996100428802411
carpet_pixel_ap,0.5508707288224437
grid_img_auc,1.0
grid_pixel_auc,0.9781764113645356
grid_img_ap,1.0000000000000002
grid_pixel_ap,0.2329484671591872
hazelnut_img_auc,0.9992857142857142
hazelnut_pixel_auc,0.9863867336077407
hazelnut_img_ap,0.9995947111238859
hazelnut_pixel_ap,0.5699256757967682
leather_img_auc,1.0
leather_pixel_auc,0.9860989758974047
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.2838980997233233
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9838529246693144
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.8556577162855837
pill_img_auc,0.9918166939443536
pill_pixel_auc,0.9895585255593669
pill_img_ap,0.9986156474447352
pill_pixel_ap,0.8178436429406742
screw_img_auc,0.9296987087517934
screw_pixel_auc,0.984297331266551
screw_img_ap,0.9731023559019419
screw_pixel_ap,0.22722162698853976
tile_img_auc,1.0
tile_pixel_auc,0.9627446438748671
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6593484678490465
toothbrush_img_auc,0.8972222222222223
toothbrush_pixel_auc,0.9830202200288096
toothbrush_img_ap,0.952466568772941
toothbrush_pixel_ap,0.5099214948704961
transistor_img_auc,0.9958333333333333
transistor_pixel_auc,0.9743754609774251
transistor_img_ap,0.9933083277220275
transistor_pixel_ap,0.6836847469823035
wood_img_auc,0.9894736842105263
wood_pixel_auc,0.9247778962190372
wood_img_ap,0.9965739045257905
wood_pixel_ap,0.3783724106673477
zipper_img_auc,0.9908088235294118
zipper_pixel_auc,0.9750250476065612
zipper_img_ap,0.9974956705632724
zipper_pixel_ap,0.30838224599429986
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9829007430520796
oracle_mean_pixel_auc,0.9766451019172867
