class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9827194703891157,False,1.0
cable,1,0.9919415292353824,0.9769851405928327,False,1.0
capsule,2,0.9692859992022338,0.9863128814192567,False,1.0
carpet,3,0.9963884430176565,0.9900917609005535,False,1.0
grid,4,0.9924812030075187,0.9771115741026576,False,1.0
hazelnut,5,1.0,0.9870020101238222,False,1.0
leather,6,1.0,0.992931525203269,False,1.0
metal_nut,7,1.0,0.9719776960367575,False,1.0
pill,8,0.9909983633387888,0.9898214356502745,False,1.0
screw,9,0.9204755072760811,0.9813743207042498,False,1.0
tile,10,1.0,0.9677436783623147,False,1.0
toothbrush,11,0.9194444444444445,0.9843265929178773,False,1.0
transistor,12,0.99125,0.970245804219593,True,1.0
Average,,0.9824819607324696,0.9814341454325057,,1.0
Task_0_Average,0,1.0,0.9827194703891157,,1.0
Task_1_Average,1,0.9919415292353824,0.9769851405928327,,1.0
Task_2_Average,2,0.9692859992022338,0.9863128814192567,,1.0
Task_3_Average,3,0.9963884430176565,0.9900917609005535,,1.0
Task_4_Average,4,0.9924812030075187,0.9771115741026576,,1.0
Task_5_Average,5,1.0,0.9870020101238222,,1.0
Task_6_Average,6,1.0,0.992931525203269,,1.0
Task_7_Average,7,1.0,0.9719776960367575,,1.0
Task_8_Average,8,0.9909983633387888,0.9898214356502745,,1.0
Task_9_Average,9,0.9204755072760811,0.9813743207042498,,1.0
Task_10_Average,10,1.0,0.9677436783623147,,1.0
Task_11_Average,11,0.9194444444444445,0.9843265929178773,,1.0
Task_12_Average,12,0.99125,0.970245804219593,,1.0
