metric,value
experiment_name,MVTec-Ablation-wo_MoLESubnet
strategy,MoLE-Flow
final_average_img_auc,0.9837307908538843
final_average_pixel_auc,0.9783698391349586
final_average_img_ap,0.9932368719536816
final_average_pixel_ap,0.5416495094048688
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,False
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,False
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9827194703891157
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.7216781437544764
cable_img_auc,0.9919415292353824
cable_pixel_auc,0.9769851405928327
cable_img_ap,0.9958736540820501
cable_pixel_ap,0.6142124733717556
capsule_img_auc,0.9692859992022338
capsule_pixel_auc,0.9863128814192567
capsule_img_ap,0.9931648743120935
capsule_pixel_ap,0.3828265265485705
carpet_img_auc,0.9963884430176565
carpet_pixel_auc,0.9900917609005535
carpet_img_ap,0.9989310237203497
carpet_pixel_ap,0.6550263762793157
grid_img_auc,0.9924812030075187
grid_pixel_auc,0.9771115741026576
grid_img_ap,0.9973891067381375
grid_pixel_ap,0.26752941545949394
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.9870020101238222
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.5808035154595774
leather_img_auc,1.0
leather_pixel_auc,0.992931525203269
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.43896994519771465
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9719776960367575
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.7591839564545104
pill_img_auc,0.9909983633387888
pill_pixel_auc,0.9898214356502745
pill_img_ap,0.998493093987873
pill_pixel_ap,0.8106099806688535
screw_img_auc,0.9204755072760811
screw_pixel_auc,0.9813743207042498
screw_img_ap,0.968683464270335
screw_pixel_ap,0.2285585033564284
tile_img_auc,1.0
tile_pixel_auc,0.9677436783623147
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6581597270841163
toothbrush_img_auc,0.9194444444444445
toothbrush_pixel_auc,0.9843265929178773
toothbrush_img_ap,0.965817444476758
toothbrush_pixel_ap,0.5345246929117276
transistor_img_auc,0.99125
transistor_pixel_auc,0.970245804219593
transistor_img_ap,0.9850817769372697
transistor_pixel_ap,0.65105584878477
wood_img_auc,0.9894736842105263
wood_pixel_auc,0.9418252585333365
wood_img_ap,0.9966153002547463
wood_pixel_ap,0.4669648121326315
zipper_img_auc,0.9942226890756303
zipper_pixel_auc,0.9750784378684689
zipper_img_ap,0.9985033405256102
zipper_pixel_ap,0.3546387236090911
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9837307908538843
oracle_mean_pixel_auc,0.9783698391349586
