metric,value
experiment_name,MVTec-Ablation-wo_ScaleContext
strategy,MoLE-Flow
final_average_img_auc,0.9807607416964769
final_average_pixel_auc,0.9783664949454833
final_average_img_ap,0.9915703117525249
final_average_pixel_ap,0.5393236557810525
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9832797582028844
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.7282189792192703
cable_img_auc,0.988568215892054
cable_pixel_auc,0.9766736482067285
cable_img_ap,0.993872857783687
cable_pixel_ap,0.6181150620187088
capsule_img_auc,0.9644994016753091
capsule_pixel_auc,0.9864172704600102
capsule_img_ap,0.9916354933222638
capsule_pixel_ap,0.40779790864182053
carpet_img_auc,0.997191011235955
carpet_pixel_auc,0.9892782973264674
carpet_img_ap,0.9991484148226797
carpet_pixel_ap,0.6147925320602613
grid_img_auc,0.9832915622389307
grid_pixel_auc,0.9765811337127652
grid_img_ap,0.9942024045090243
grid_pixel_ap,0.2514596802350365
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.9861018722240646
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.5727386054069711
leather_img_auc,1.0
leather_pixel_auc,0.9922534328351076
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.40388505619489257
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9754550754649813
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.7929827247311148
pill_img_auc,0.9907255864702674
pill_pixel_auc,0.9894447784768675
pill_img_ap,0.998417172842908
pill_pixel_ap,0.8072286270844601
screw_img_auc,0.9165812666530027
screw_pixel_auc,0.9830624817857412
screw_img_ap,0.966500512603575
screw_pixel_ap,0.21314114715733798
tile_img_auc,1.0
tile_pixel_auc,0.9687146838378029
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6959014976584127
toothbrush_img_auc,0.9055555555555557
toothbrush_pixel_auc,0.9851641068459195
toothbrush_img_ap,0.9587212726747038
toothbrush_pixel_ap,0.5469289334488955
transistor_img_auc,0.9887499999999999
transistor_pixel_auc,0.9693736145137073
transistor_img_ap,0.9782160407639824
transistor_pixel_ap,0.6525275412319664
wood_img_auc,0.9859649122807017
wood_pixel_auc,0.9385132643534883
wood_img_ap,0.995456201924365
wood_pixel_ap,0.4314779992797594
zipper_img_auc,0.9902836134453782
zipper_pixel_auc,0.9751840059357147
zipper_img_ap,0.997384305040684
zipper_pixel_ap,0.35265854234687927
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9807607416964769
oracle_mean_pixel_auc,0.9783664949454833
